month,mean,std,size,mean_pct,t
1,-0.00022819429229797088,0.012483542995089388,2960,-0.022819429229797086,-0.9945182832064678
2,-0.0003789174337987,0.012660723545049607,2827,-0.03789174337987,-1.5912886525840675
3,-0.00032156178422780324,0.012702031434926419,3179,-0.032156178422780325,-1.427369822008271
4,-0.0008004298021348938,0.012610965433019322,3098,-0.08004298021348938,-3.5327720979212462
5,-0.00018485858412205708,0.012370868192549128,3226,-0.018485858412205708,-0.8487340468867588
6,-0.000334657813235184,0.012906522224892279,3160,-0.0334657813235184,-1.457589652705477
7,0.0011478310862713553,0.012614265008167863,3023,0.11478310862713553,5.003053019520005
8,0.0015856506450716414,0.01200105550778706,1409,0.15856506450716415,4.9595647048479545
9,0.0018122335847940887,0.012459312062530205,1898,0.18122335847940887,6.336773952637068
10,0.00172451025894734,0.010986732781562843,2013,0.172451025894734,7.042374364852813
11,0.0003068432510497929,0.013070164008704076,2182,0.030684325104979288,1.0966370421061566
12,-0.0018051028324477499,0.013909411112551161,2253,-0.180510283244775,-6.159901959606491
