tau,coef,se,t
0.1,-0.062209239488884224,0.006295131291030068,-9.882119468664008
0.25,-0.06391229642121757,0.0029801649364941153,-21.445892352657633
0.5,-0.056780527874125075,0.0015148052242976195,-37.48371537367314
0.75,-0.11469467766935716,0.0027339140428136676,-41.952554423151
0.9,-0.19268990759682977,0.005483572293833702,-35.13948522453334
