year,auctions_created,auctions_completed,tc_exchanged,mean_tc_per_auction,completion_rate,partial_year
2020,223396,130614,243854696,1866.987428606428,0.5846747479811635,True
2021,413285,251723,566166469,2249.1646333469726,0.6090784809514016,False
2022,325332,221851,607339437,2737.600628349658,0.6819218521387382,False
2023,329057,184921,527173587,2850.8043272532595,0.5619725457899392,False
2024,267141,158513,488427724,3081.310201686928,0.5933682961432353,False
2025,254532,178473,597324609,3346.8626010657076,0.7011809909952383,False
