model,r2_oos,dir_acc,rmse,folds,folds_better,dm_z,dm_p
RandomWalk,0.0,0.0,0.018561845179647207,4,0,,
LSTM,-0.01830512285232544,0.5606314332068704,0.018634045496582985,4,3,2.88304244296861,0.003938543696371921
Transformer,-0.021305561065673828,0.5125341195287199,0.018731226678937674,4,2,-4.202197065356488,2.6433686027393932e-05
