world,update_time,best_bid,best_ask,mid,quoted_spread_pct,bid_depth_tc,ask_depth_tc,n_buy_orders,n_sell_orders,date
Honbra,1785299114.8603036,39304,40764.0,40034.0,3.6469001348853474,378550,87725.0,38,6,2026-07-29
Hostera,1784910078.8736763,22510,26749.0,24629.5,17.211068028177593,15300,1850.0,35,13,2026-07-24
Hostera,1785514874.971768,25300,28997.0,27148.5,13.61769526861521,11725,550.0,32,5,2026-07-31
Idyllia,1785175344.0081372,28915,30899.0,29907.0,6.6338984184304675,5775,2200.0,33,19,2026-07-27
Ignibra,1785083240.7864304,20017,24900.0,22458.5,21.74232473228399,3525,975.0,29,6,2026-07-26
Ignibra,1785687746.8529303,21559,33332.0,27445.5,42.89592100708678,4750,975.0,32,11,2026-08-02
Ignitera,1784997738.9109292,38001,40600.0,39300.5,6.613147415427284,20650,4625.0,24,4,2026-07-25
Ignitera,1785601282.9886813,38120,41800.0,39960.0,9.20920920920921,20650,2850.0,16,4,2026-08-01
Inabra,1785374502.1393268,39611,41150.0,40380.5,3.811245526925125,474450,35400.0,48,3,2026-07-30
Inabra,1785633695.837302,39773,41000.0,40386.5,3.0381439342354497,377275,50000.0,41,3,2026-08-02
Issobra,1784994746.512373,38380,41396.0,39888.0,7.561171279582831,137750,64950.0,30,5,2026-07-25
Issobra,1785597917.7825928,39362,41499.0,40430.5,5.285613583804307,246175,43650.0,26,2,2026-08-01
Jadebra,1785223273.7213705,39351,40579.0,39965.0,3.072688602527211,198425,68875.0,37,11,2026-07-28
Junera,1785080040.2638202,11475,13400.0,12437.5,15.477386934673367,1025,2075.0,19,30,2026-07-26
Kalanta,1785256156.6489367,38432,40125.0,39278.5,4.310246063368001,95425,31100.0,17,12,2026-07-28
Kalibra,1785357134.6894388,42933,44826.0,43879.5,4.314087444022835,264850,24250.0,36,6,2026-07-29
Kalimera,1785435673.946132,35100,39499.0,37299.5,11.79372377645813,6650,5650.0,11,2,2026-07-30
Kanda,1785406906.9345531,20126,22949.0,21537.5,13.107370864770749,20250,11450.0,45,51,2026-07-30
Karmeya,1784991764.5284858,37750,39304.0,38527.0,4.033534923560101,100050,27925.0,26,14,2026-07-25
Lobera,1785212493.957488,38611,39709.0,39160.0,2.80388151174668,137850,51525.0,43,13,2026-07-28
Luminera,1785414051.1650043,43224,43800.0,43512.0,1.323772752344181,218050,28225.0,17,2,2026-07-30
Luminera,1785414051.1650045,43224,43800.0,43512.0,1.323772752344181,218050,28225.0,17,2,2026-07-30
Lutabra,1783880481.5468245,37444,38472.0,37958.0,2.708256494019706,86250,20625.0,24,7,2026-07-12
Luzibra,1785086486.670827,38702,41989.0,40345.5,8.147129171778762,12100,6350.0,44,7,2026-07-26
Maligna,1785392497.7509518,11304,12300.0,11802.0,8.439247585155059,8975,2800.0,20,50,2026-07-30
Menera,1785248489.6432927,43500,43993.0,43746.5,1.126947298641034,381500,5750.0,25,3,2026-07-28
Menera,1785248489.643293,43500,43993.0,43746.5,1.126947298641034,381500,5750.0,25,3,2026-07-28
Monstera,1785432081.7853007,36000,37900.0,36950.0,5.142083897158322,46550,29625.0,37,20,2026-07-30
Monza,1785072089.7893455,42300,42967.0,42633.5,1.5644974022775515,329200,28275.0,31,8,2026-07-26
Monza,1785072089.7893457,42300,42967.0,42633.5,1.5644974022775517,329200,28275.0,31,8,2026-07-26
Mystera,1785354074.785102,20003,26995.0,23499.0,29.754457636495168,4525,900.0,17,3,2026-07-29
Mystera,1785354074.7851021,20003,26995.0,23499.0,29.754457636495168,4525,900.0,17,3,2026-07-29
Nefera,1785386471.4492087,42931,43818.0,43374.5,2.044980345594762,240850,30725.0,31,4,2026-07-30
