horizon,dispersion,mean_disp_pct,n,n_effective,net_pct,t_newey_west,share_profitable
7,low,5.8198086350717295,863,98,1.4869116355324996,5.082917587333408,0.7033603707995365
7,mid,8.937655442222713,858,68,0.28028042104933676,1.409712690198423,0.5757575757575758
7,high,11.57729377386523,851,16,0.2991098056108107,1.7310575010708027,0.5393654524089306
30,low,6.006279565994277,817,22,2.8950546778479898,5.232890925577714,0.8115055079559363
30,mid,9.128874621777051,821,15,1.379567388730025,2.891811646794133,0.7369062119366626
30,high,11.625444776380311,810,3,0.7543831131137122,1.2271586862895965,0.5925925925925926
