model,rmse,r2_median,worlds,worlds_better
SARIMA,0.021883487186305808,-0.006846127681500391,61,26
RandomWalk,0.02189380557312353,0.0,61,0
MarkovSwitch,0.021971790556858457,-0.00032914931592653573,61,28
SARIMAX,0.02212717066743662,-0.012876265650735741,61,21
