world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Astera,2025-10-23,2w,44463.5,44311.632893228925,44264.0,43261.0,False,True,True
Astera,2025-10-23,1m,42696.0,44299.76980286576,44264.0,43261.0,False,True,True
Astera,2025-10-23,3m,41744.5,44166.73753995574,44264.0,43261.0,False,True,True
Astera,2025-10-23,6m,41275.0,44024.96760892959,44264.0,43261.0,False,True,True
Astera,2025-09-13,2w,41730.0,40843.831384735284,40892.5,40862.5,False,True,True
Astera,2025-09-13,1m,41670.0,40817.65582506047,40892.5,40862.5,False,True,True
Astera,2025-09-13,3m,43316.0,40606.19566897066,40892.5,40862.5,False,True,True
Astera,2025-09-13,6m,40718.0,40308.77733080054,40892.5,40862.5,False,True,True
Astera,2025-08-04,2w,40949.5,40407.3931840703,40427.5,40092.0,False,True,True
Astera,2025-08-04,1m,40525.5,40281.97475259626,40427.5,40092.0,False,True,True
Astera,2025-08-04,3m,44553.5,40187.66519204092,40427.5,40092.0,False,True,True
Astera,2025-08-04,6m,41654.0,39901.34277547087,40427.5,40092.0,False,True,True
Astera,2025-06-25,2w,39939.0,39207.85271746577,39172.5,39121.5,False,True,True
Astera,2025-06-25,1m,40660.5,39151.017679635814,39172.5,39121.5,False,True,True
Astera,2025-06-25,3m,41539.5,39100.22377930679,39172.5,39121.5,False,True,True
Astera,2025-06-25,6m,42952.0,39243.86454940896,39172.5,39121.5,False,True,True
Astera,2025-05-16,2w,39230.5,39124.19267347061,39058.5,39378.5,False,True,True
Astera,2025-05-16,1m,39591.0,39128.03116643917,39058.5,39378.5,False,True,True
Astera,2025-05-16,3m,40852.0,39222.94976489382,39058.5,39378.5,False,True,True
Astera,2025-05-16,6m,44310.0,39573.9268791116,39058.5,39378.5,False,True,True
Astera,2025-04-06,2w,40442.0,41010.40822263199,40993.5,41090.5,False,True,True
Astera,2025-04-06,1m,39060.5,41028.68657449529,40993.5,41090.5,False,True,True
Astera,2025-04-06,3m,39163.0,41263.50124596835,40993.5,41090.5,False,True,True
Astera,2025-04-06,6m,41932.0,41374.94968321328,40993.5,41090.5,False,True,True
Astera,2025-02-25,2w,41445.0,41687.68365188965,41608.0,41432.5,False,True,True
Astera,2025-02-25,1m,40901.5,41606.79097044811,41608.0,41432.5,False,True,True
Astera,2025-02-25,3m,39048.5,41757.2940809837,41608.0,41432.5,False,True,True
Astera,2025-02-25,6m,39690.0,41802.83767228977,41608.0,41432.5,False,True,True
Astera,2025-01-16,2w,40550.0,40949.80570503434,40827.0,41003.0,False,True,True
Astera,2025-01-16,1m,42063.5,40899.679281143224,40827.0,41003.0,False,True,True
Astera,2025-01-16,3m,39675.5,41153.38930236344,40827.0,41003.0,False,True,True
Astera,2025-01-16,6m,39353.0,41493.285246917825,40827.0,41003.0,False,True,True
Belobra,2026-01-11,2w,42161.0,41354.70721158772,41263.0,41656.5,True,True,True
Belobra,2026-01-11,1m,41941.5,41411.071734110126,41263.0,41656.5,True,True,True
Belobra,2026-01-11,3m,40646.0,41446.34043410691,41263.0,41656.5,True,True,True
Belobra,2026-01-11,6m,41712.5,41680.53425548172,41263.0,41656.5,True,True,True
Belobra,2025-12-02,2w,44815.0,45208.605111415396,45186.5,44591.5,True,True,True
Belobra,2025-12-02,1m,42438.5,45190.32228657461,45186.5,44591.5,True,False,False
Belobra,2025-12-02,3m,40561.5,45086.87116391532,45186.5,44591.5,True,False,False
Belobra,2025-12-02,6m,39950.5,44930.937209911586,45186.5,44591.5,True,False,True
Belobra,2025-10-23,2w,44750.0,43792.28331644257,43772.5,43325.0,True,True,True
Belobra,2025-10-23,1m,44160.0,43874.955179612014,43772.5,43325.0,True,True,True
Belobra,2025-10-23,3m,41554.0,44029.092052816,43772.5,43325.0,True,True,True
Belobra,2025-10-23,6m,41327.0,43901.31435737616,43772.5,43325.0,True,True,True
Belobra,2025-09-13,2w,42224.0,39044.526111336396,38966.0,41171.0,True,False,False
Belobra,2025-09-13,1m,42850.0,39172.875694108676,38966.0,41171.0,True,False,False
Belobra,2025-09-13,3m,45043.5,39597.85701925606,38966.0,41171.0,True,False,False
Belobra,2025-09-13,6m,39774.5,40205.74347129053,38966.0,41171.0,True,True,True
Belobra,2025-08-04,2w,40842.0,40580.26089191002,40612.5,40194.0,True,True,True
Belobra,2025-08-04,1m,41396.5,40520.2876819419,40612.5,40194.0,True,True,True
Belobra,2025-08-04,3m,44346.0,40469.74722143618,40612.5,40194.0,True,True,True
Belobra,2025-08-04,6m,42367.0,40453.43338453898,40612.5,40194.0,True,True,True
Belobra,2025-06-25,2w,40042.0,39885.33475815927,39853.5,39800.5,True,True,True
Belobra,2025-06-25,1m,40310.5,40000.30821676596,39853.5,39800.5,True,True,True
Belobra,2025-06-25,3m,42024.0,39923.962228840785,39853.5,39800.5,True,True,True
Belobra,2025-06-25,6m,42748.5,40158.03436580006,39853.5,39800.5,True,True,True
Belobra,2025-05-16,2w,40326.5,40690.864993976546,40697.0,39619.5,True,True,True
Belobra,2025-05-16,1m,39839.0,40599.18865199124,40697.0,39619.5,True,True,True
Belobra,2025-05-16,3m,40007.0,40432.42382777487,40697.0,39619.5,True,True,True
Belobra,2025-05-16,6m,44151.0,40131.9255909042,40697.0,39619.5,True,True,True
Belobra,2025-04-06,2w,40647.5,41844.46754815102,41832.0,40863.0,True,True,True
Belobra,2025-04-06,1m,40217.0,41704.61119971807,41832.0,40863.0,True,True,True
Belobra,2025-04-06,3m,39876.0,41580.09229262945,41832.0,40863.0,True,True,True
Belobra,2025-04-06,6m,42755.5,41147.26482365212,41832.0,40863.0,True,True,True
Belobra,2025-02-25,2w,40450.0,42412.788225348384,42384.5,42357.5,True,True,True
Belobra,2025-02-25,1m,41548.0,42490.551287928945,42384.5,42357.5,True,True,True
Belobra,2025-02-25,3m,40297.0,42635.821260460456,42384.5,42357.5,True,True,True
Belobra,2025-02-25,6m,41081.0,42668.12838928036,42384.5,42357.5,True,True,True
Belobra,2025-01-16,2w,42327.0,41102.45913931595,41037.0,41918.5,True,True,True
Belobra,2025-01-16,1m,42347.0,41224.535226549444,41037.0,41918.5,True,True,True
Belobra,2025-01-16,3m,40737.5,41276.90831137856,41037.0,41918.5,True,True,True
Belobra,2025-01-16,6m,40420.5,41461.45420317337,41037.0,41918.5,True,True,True
Belobra,2024-12-07,1m,41412.5,43129.34700154983,42914.975,44556.0,True,True,True
Belobra,2024-12-07,3m,41224.0,43369.35142320212,42914.975,44556.0,True,True,True
Belobra,2024-12-07,6m,39809.5,43772.85863256111,42914.975,44556.0,True,True,True
Belobra,2024-10-28,2w,42268.0,43317.18591427647,43271.5,42867.0,True,True,True
Belobra,2024-10-28,3m,41263.5,43302.62893639713,43271.5,42867.0,True,True,True
Belobra,2024-10-28,6m,40196.0,43239.19640027975,43271.5,42867.0,True,True,True
Belobra,2024-09-18,2w,43001.5,41689.55606255271,41683.5,41086.5,True,True,True
Belobra,2024-09-18,1m,43845.5,41723.64249061332,41683.5,41086.5,True,True,True
Belobra,2024-09-18,6m,41402.5,41425.63601554421,41683.5,41086.5,True,True,True
Bona,2026-01-11,2w,41218.0,41771.14134697288,41748.5,41743.0,False,True,True
Bona,2026-01-11,1m,40643.0,41795.000020168605,41748.5,41743.0,False,True,True
Bona,2026-01-11,3m,40935.5,41667.68270605998,41748.5,41743.0,False,True,True
Bona,2026-01-11,6m,41998.0,41582.11855165371,41748.5,41743.0,False,True,True
