horizon,decile,cost_basis,n,mean_abs_dev_pct,gross_pct,cost_pct,net_pct,share_profitable,t_naive,t_stat,independent_windows
7,1,small offer,2572,2.120828808039122,-0.3623266689941495,4.0,-4.3623266689941484,0.01166407465007776,-125.51047034374531,-60.26577134709347,104
7,1,above the fee cap,2572,2.120828808039122,-0.3623266689941495,0.2205678226341351,-0.5828944916282847,0.3390357698289269,-16.77072061682927,-8.834504591788232,104
7,2,small offer,2572,2.7407890958712118,-0.10947367982437756,4.0,-4.109473679824377,0.015163297045101089,-117.47208942992572,-53.81536006883049,108
7,2,above the fee cap,2572,2.7407890958712118,-0.10947367982437756,0.2205678226341351,-0.3300415024585126,0.41835147744945567,-9.434459960831372,-4.324042272938076,108
7,3,small offer,2572,3.3739700269173882,0.06846693297736835,4.0,-3.9315330670226314,0.017107309486780714,-108.34451889098122,-54.32368674989019,108
7,3,above the fee cap,2572,3.3739700269173882,0.06846693297736835,0.2205678226341351,-0.15210088965676674,0.4692846034214619,-4.191570420958578,-2.760895585917324,108
7,4,small offer,2572,4.01238961331879,-0.0020790891972980365,4.0,-4.002079089197298,0.01671850699844479,-106.70292208208308,-55.83254933284359,108
7,4,above the fee cap,2572,4.01238961331879,-0.0020790891972980365,0.2205678226341351,-0.22264691183143315,0.4560653188180404,-5.936183557464583,-3.9935126819764695,108
7,5,small offer,2572,4.697063459503885,-0.00415452202063277,4.0,-4.004154522020633,0.019051321928460343,-106.6836006297864,-52.92078053813232,117
7,5,above the fee cap,2572,4.697063459503885,-0.00415452202063277,0.2205678226341351,-0.22472234465476787,0.45412130637636083,-5.987328595311122,-3.328845141666492,117
7,6,small offer,2571,5.4557313999084,0.025044502876102548,4.0,-3.9749554971238963,0.021781408012446518,-104.15075142421354,-50.6446160507846,111
7,6,above the fee cap,2571,5.4557313999084,0.025044502876102548,0.2205678226341351,-0.19552331975803255,0.45079735511474134,-5.123051236294419,-2.7764171644938522,111
7,7,small offer,2572,6.299113541672534,0.23735334863811816,4.0,-3.762646651361882,0.02410575427682737,-104.03651247583468,-43.4334011493409,119
7,7,above the fee cap,2572,6.299113541672534,0.23735334863811816,0.2205678226341351,0.01678552600398304,0.504665629860031,0.4641168165218908,0.2628309063993132,119
7,8,small offer,2572,7.215820923618481,0.3132288122844905,4.0,-3.6867711877155096,0.029548989113530325,-96.36351274794927,-37.93558225599898,119
7,8,above the fee cap,2572,7.215820923618481,0.3132288122844905,0.2205678226341351,0.09266098965035538,0.500388802488336,2.4219399585094714,1.7043026185609134,119
7,9,small offer,2572,8.330787935168583,0.4912889416372758,4.0,-3.508711058362725,0.04471228615863142,-87.03148367849809,-32.63703451390045,119
7,9,above the fee cap,2572,8.330787935168583,0.4912889416372758,0.2205678226341351,0.2707211190031407,0.5443234836702955,6.7150757808313255,2.8272610627325956,119
7,10,small offer,2572,10.918006327335933,0.9119472111643365,4.0,-3.0880527888356637,0.08242612752721618,-61.204597951723095,-10.345586615510697,119
7,10,above the fee cap,2572,10.918006327335933,0.9119472111643365,0.2205678226341351,0.6913793885302013,0.6065318818040435,13.703003284167963,5.096634686007008,119
14,1,small offer,2534,2.1236110083789317,-0.32245234917293747,4.0,-4.322452349172937,0.01617995264404104,-114.01215940785747,-50.08119394420418,52
14,1,above the fee cap,2534,2.1236110083789317,-0.32245234917293747,0.2205678226341351,-0.5430201718070726,0.35201262825572216,-14.323096563828221,-6.698663704397437,52
14,2,small offer,2534,2.74565365458175,-0.0506890551935624,4.0,-4.050689055193563,0.02249408050513023,-108.0509716138275,-42.28692735111664,53
14,2,above the fee cap,2534,2.74565365458175,-0.0506890551935624,0.2205678226341351,-0.27125687782769753,0.42423046566692973,-7.235699607363581,-3.3296170365346978,53
14,3,small offer,2533,3.380071731467215,0.02528782825593835,4.0,-3.974712171744061,0.017370706671930518,-103.70970699259874,-42.493550536920175,53
14,3,above the fee cap,2533,3.380071731467215,0.02528782825593835,0.2205678226341351,-0.19527999437819676,0.4745361231741019,-5.095320144802478,-2.939339348365718,53
14,4,small offer,2534,4.01978012888409,-0.02537876222704407,4.0,-4.025378762227044,0.020915548539857932,-94.57869317982151,-42.49368825745924,53
14,4,above the fee cap,2534,4.01978012888409,-0.02537876222704407,0.2205678226341351,-0.2459465848611792,0.47277032359905286,-5.778662819630187,-3.2390825058259822,53
14,5,small offer,2533,4.703705659343706,-0.027135677378182507,4.0,-4.027135677378182,0.024476904855902093,-96.71843151358986,-35.087171014218356,58
14,5,above the fee cap,2533,4.703705659343706,-0.027135677378182507,0.2205678226341351,-0.2477035000123176,0.44808527437820767,-5.949015856653501,-2.588422652551778,58
14,6,small offer,2534,5.45823050207331,0.022500150780605643,4.0,-3.977499849219394,0.020520915548539857,-96.30217252781038,-33.67831290212207,55
14,6,above the fee cap,2534,5.45823050207331,0.022500150780605643,0.2205678226341351,-0.1980676718535295,0.4601420678768745,-4.795561993739303,-1.9414201240307152,55
14,7,small offer,2533,6.298299034681816,0.24178991316502035,4.0,-3.7582100868349797,0.04184761152783261,-87.41168472228705,-27.86994587695364,58
14,7,above the fee cap,2533,6.298299034681816,0.24178991316502035,0.2205678226341351,0.02122209053088523,0.496249506514015,0.49360164646778243,0.36304866289887283,58
14,8,small offer,2534,7.213530530907096,0.38039675745972135,4.0,-3.6196032425402787,0.04222573007103394,-86.45736915739357,-24.48859559360351,59
14,8,above the fee cap,2534,7.213530530907096,0.38039675745972135,0.2205678226341351,0.1598289348255863,0.5067087608524072,3.817653011756838,1.5646492090995088,59
14,9,small offer,2533,8.34085683617834,0.6917534700359819,4.0,-3.308246529964018,0.054480852743782074,-76.29359089279328,-22.965303525358166,59
14,9,above the fee cap,2533,8.34085683617834,0.6917534700359819,0.2205678226341351,0.47118564740184665,0.5862613501776549,10.866313828740997,3.917637956888205,59
14,10,small offer,2534,10.94338805739492,1.3009260672778724,4.0,-2.699073932722128,0.12194159431728492,-43.35998313189929,-5.610281545119623,59
