horizon,n,model_mape,model_rmsle,rw_mape,rw_rmsle,snaive_mape,snaive_rmsle,cover80,cover90
2w,249,2.2254543696684443,2.925390322545804,2.1894921544267403,2.8882194763075053,2.5828923227124974,3.4704260678173213,83.13253012048193,93.17269076305222
1m,250,3.603716470586816,4.647564290990249,3.5307795568285014,4.553933411223884,3.7604576800179603,5.033085330146053,73.6,84.8
3m,249,7.243200472428958,8.792920347573197,6.876998563570173,8.353691711440868,6.990822841273542,8.74237119428546,70.68273092369478,85.94377510040161
6m,252,7.242758658669654,8.76753150885852,6.72161674661966,8.075448524927971,6.7527140344748355,8.103203372154633,92.06349206349206,98.80952380952381
