world,status,year_max,year_min,all_max,all_min,d24_max,d24_min,month_max,month_min,week_max,week_min,region,snapshot_online,created,daily_avg_all,n_days_pop,pop_first_date,daily_avg_year,daily_avg_90d,bias_factor
Penumbra,ok,470,4,470,4,11,0,20,0,17,0,South America,6,2025-08-27,61.25449101796407,334,2025-08-29,61.25449101796407,5.976470588235294,10.209081836327345
Premia,ok,286,62,286,23,191,42,338,0,234,0,Europe,187,2002-04-03,81.66181465308102,4122,2014-12-17,106.18994413407822,110.56470588235294,0.5678606638186001
Quelibra,ok,448,172,753,55,442,42,554,0,557,0,South America,277,2017-12-12,251.30107526881721,3069,2017-12-14,252.18994413407822,250.6235294117647,0.9104330113143618
Quidera,ok,358,107,361,97,348,47,470,0,374,0,North America,183,2024-09-09,183.53001464128843,683,2024-09-10,181.0977653631285,187.6,0.9896052752083525
Quintera,ok,288,92,476,65,294,41,383,0,308,0,North America,153,2005-07-06,173.1415305795709,3123,2017-10-21,160.81564245810057,170.47058823529412,1.0510826304451018
Rasteibra,ok,481,131,481,79,439,32,547,0,480,0,South America,246,2023-08-28,213.76660341555979,1054,2023-08-31,244.4441340782123,218.90588235294118,0.9936753417813509
Refugia,ok,500,128,500,66,434,55,640,49,522,46,Europe,382,2005-07-20,176.64434740417272,4122,2014-12-17,209.99720670391062,223.7764705882353,0.5497309076018603
Retalia,ok,62,12,127,11,45,6,80,3,55,1,Europe,39,2023-08-28,29.59203036053131,1054,2023-08-31,24.07262569832402,26.141176470588235,0.617246812777539
Secura,ok,1000,335,1000,116,895,131,1150,0,1022,0,Europe,829,2002-11-04,332.82588635259833,4118,2014-12-17,493.2225352112676,502.77647058823527,0.5949608386143156
Serdebra,ok,405,109,892,80,459,32,547,0,497,0,South America,249,2016-11-22,243.11175616835993,3445,2016-12-01,214.03631284916202,219.21176470588236,0.8595835857396065
Solidera,ok,416,141,578,112,388,74,520,0,430,0,North America,227,2002-10-07,234.10064603876233,2941,2018-04-24,222.98882681564245,225.14117647058825,0.9823296335490858
Sombra,ok,49,10,49,10,43,1,55,0,48,0,South America,21,2025-11-06,19.21969696969697,264,2025-11-07,19.21969696969697,16.823529411764707,0.9152236652236652
