horizon,channel,elasticity,se,t,p,r2_within,n
1,"gold production, daily flow",-0.0020386928690242514,0.0007748844146995137,-2.630963831960435,0.008514309660596409,0.0004760093181902514,14204
1,"gold production, accumulated stock",-0.0077530333705919845,0.0011615629351328898,-6.6746563066813,2.478128813265812e-11,0.0013364790283135752,14204
7,"gold production, daily flow",0.0013819649049311863,0.0010990603570427758,1.2574058340613952,0.20860671775656403,0.0001810384419512756,13472
7,"gold production, accumulated stock",-0.024252688972803124,0.0012989069015965722,-18.67161452679368,0.0,0.03582562365961417,13472
30,"gold production, daily flow",0.016011612477881198,0.004899831119834723,3.2677886413402115,0.001083912781649543,0.015950555171583614,10666
30,"gold production, accumulated stock",-0.007697467716769539,0.00138221670731036,-5.56892973153823,2.5630881861360422e-08,0.011359564506169706,10666
