world,status,snapshot_online,region,pvp_type,premium_only,transfer_type,battleye_protected,battleye_date,game_world_type,tournament_world_type,snapshot_ts_utc,created,record_online,record_date,guilds,people_in_guilds,ach_points,is_merge_destination,merge_date,predecessor_worlds,n_predecessors,first_obs,last_obs,n_world_days,created_in_window,launch_in_window,age_at_first_obs_days,age_years_at_window_end
Harmonia,online,303,Europe,Optional PvP,False,regular,True,2017-09-05,regular,,04:45,2004-03-30,1051.0,2009-05-31 19:55:00,57,2385,441967,False,,,,2024-05-31,2026-07-30,791,False,False,7367,22.34633812457221
Havera,online,237,North America,Open PvP,False,regular,True,2021-12-06,regular,,04:45,2004-10-20,585.0,2022-03-05 03:00:00,66,8670,900461,True,2021-12-06,Garnera; Impera,2.0,2025-09-04,2026-08-02,333,False,False,7624,21.78781656399726
Honbra,online,227,South America,Open PvP,False,regular,True,release,regular,,04:45,2017-04-17,1051.0,2017-07-03 04:20:00,29,1787,348696,False,,,,2025-01-01,2026-07-29,575,False,False,2816,9.297741273100616
Hostera,online,26,North America,Open PvP,False,blocked,True,release,regular,,04:45,2025-10-29,443.0,2025-11-08 04:23:00,9,334,23126,False,,,,2026-02-01,2026-07-31,181,True,True,95,0.7638603696098563
Idyllia,online,29,Europe,Optional PvP,False,blocked,True,release,regular,,04:45,2025-10-29,482.0,2025-10-29 21:06:00,5,153,10565,False,,,,2026-02-01,2026-07-27,177,True,True,95,0.7638603696098563
Ignibra,online,13,South America,Retro Open PvP,False,blocked,True,release,regular,,04:45,2026-02-18,389.0,2026-02-18 20:50:00,1,899,17022,False,,,,2026-05-07,2026-08-02,88,True,True,78,0.45722108145106094
Ignitera,online,47,North America,Open PvP,False,regular,True,release,regular,,04:45,2025-02-19,553.0,2025-02-20 02:34:00,4,269,37091,False,,,,2025-09-04,2026-08-01,332,True,True,197,1.4537987679671458
Inabra,online,290,South America,Open PvP,False,regular,True,2017-12-12,regular,,04:45,2017-12-12,1056.0,2020-06-19 03:27:00,69,5949,999920,False,,,,2024-02-09,2026-08-02,887,False,False,2250,8.643394934976044
Issobra,online,134,South America,Optional PvP,False,regular,True,release,regular,,04:45,2022-03-23,927.0,2022-03-23 15:36:00,13,1275,243207,False,,,,2025-08-28,2026-08-01,339,False,False,1254,4.3668720054757015
Jadebra,online,174,South America,Open PvP,False,regular,True,release,regular,,04:45,2023-08-28,655.0,2023-09-11 03:12:00,16,1856,309977,True,2023-08-28,Alumbra; Dibra; Ocebra,3.0,2025-09-04,2026-08-01,332,True,False,738,2.9349760438056127
Junera,online,81,North America,Optional PvP,False,blocked,True,release,regular,,04:45,2026-05-20,200.0,2026-05-20 12:00:00,14,443,17201,False,,,,2026-05-21,2026-07-26,67,True,True,1,0.2080766598220397
Kalanta,online,185,Europe,Optional PvP,False,regular,True,release,regular,,04:45,2025-11-06,347.0,2026-03-06 21:15:00,24,1140,157666,True,2025-11-06,Wadira; Zephyra,2.0,2025-11-07,2026-07-28,264,True,False,1,0.7419575633127995
Kalibra,online,222,South America,Optional PvP,False,regular,True,2017-12-12,regular,,04:45,2017-12-12,1005.0,2020-07-04 02:50:00,31,1358,474329,False,,,,2025-09-04,2026-08-02,333,False,False,2823,8.643394934976044
Kalimera,online,33,North America,Optional PvP,False,regular,True,release,regular,,04:45,2025-05-21,244.0,2025-05-22 03:04:00,6,425,33447,False,,,,2025-08-29,2026-07-30,336,True,True,100,1.2046543463381245
Kanda,online,158,Europe,Optional PvP,False,blocked,True,release,regular,,04:45,2026-02-18,923.0,2026-02-22 21:34:00,18,449,39567,False,,,,2026-05-08,2026-08-03,88,True,True,79,0.45722108145106094
Karmeya,online,291,Europe,Optional PvP,False,regular,True,release,regular,,04:45,2024-09-09,607.0,2026-03-06 20:38:00,31,564,107194,True,2024-09-09,Damora; Nadora,2.0,2025-01-01,2026-07-31,577,True,False,114,1.9000684462696784
Lobera,online,286,North America,Open PvP,False,regular,True,2018-04-19,regular,,04:45,2002-11-14,1050.0,2020-05-04 03:28:00,84,10748,1274292,True,2018-04-19,Laudera; Thera; Umera,3.0,2024-02-09,2026-08-03,907,False,False,7757,23.720739219712527
Luminera,online,189,North America,Optional PvP,False,regular,True,2017-09-05,regular,,04:45,2005-07-20,1051.0,2009-05-29 00:20:00,46,3111,575436,False,,,,2025-09-05,2026-07-30,329,False,False,7352,21.0403832991102
Lutabra,online,13,South America,Retro Open PvP,False,regular,True,2017-12-12,regular,,04:45,2017-12-12,1053.0,2019-12-24 03:23:00,3,751,83209,False,,,,2025-09-05,2026-07-12,311,False,False,2824,8.643394934976044
Luzibra,online,50,South America,Optional PvP,False,regular,True,release,regular,,04:45,2025-05-21,544.0,2025-05-21 12:00:00,4,376,66813,False,,,,2025-08-28,2026-08-03,341,True,True,99,1.2046543463381245
Maligna,online,80,Europe,Open PvP,False,blocked,True,release,regular,,04:45,2026-05-20,200.0,2026-05-20 12:00:00,11,301,11352,False,,,,2026-05-21,2026-08-03,75,True,True,1,0.2080766598220397
Menera,online,135,North America,Optional PvP,False,regular,True,2017-09-05,regular,,04:45,2006-07-13,1051.0,2009-05-31 19:35:00,48,2007,391367,False,,,,2025-09-04,2026-08-03,334,False,False,6993,20.060232717316907
