date,ret,disp,vol,kills,online,turnover,state
2024-01-17,-0.0020822184110063,0.1810129015391167,0.0137421409486494,0.0830316208486232,5.270032190803839,287.33333333333337,1
2024-01-18,0.0037346846447654336,0.28230888367303425,0.014914620599462332,-0.03465270436556447,5.472596398659092,258.375,1
2024-01-19,0.0009994030911026,0.336076099421384,0.014623063954107432,0.0079770251294011,5.494020993566733,416.2166666666667,2
2024-01-20,-0.00361854582852495,0.3265415574236214,0.013223135293608551,-0.08831508364943991,5.192709876323569,243.95,2
2024-01-21,0.003468250498877733,0.3553067829564738,0.014363885030391732,-0.07500618433147581,5.462965003005356,404.04761904761904,2
2024-01-22,0.0035629833868355333,0.3067398166052781,0.014166288404433966,-0.051533670803387104,5.576334537760222,418.0285714285714,2
2024-01-23,-0.005757449481854066,0.3071940949017617,0.0136234983027168,0.0005856863724472659,5.651247298041683,423.93650793650795,2
2024-01-24,-0.009219824313449932,0.3092473693297782,0.012630447406707468,-0.14338007416680118,5.492401157682518,421.52380952380946,2
2024-01-25,0.018422082768925166,0.302696914493841,0.0138495646505594,-0.15444587725381467,5.480129274668566,419.0,2
2024-01-26,0.0088715905907754,0.08664494135971772,0.013773351767576401,-0.020155772811997767,5.468943056815294,415.9047619047619,2
2024-01-27,-0.013083735662656049,0.302167638360826,0.01249110248583405,0.0490594583047645,5.580235088587839,506.5,2
2024-01-28,0.0050331616682051,0.302167638360826,0.011690567267118,-0.0439421137044497,5.19295685089021,212.0,2
2024-01-29,-1.0429043407265507e-05,0.16733592031997868,0.0124163508898844,0.018911218636339665,5.4890639562549675,408.85714285714283,2
2024-01-30,0.0017848786363469748,0.2839099201305528,0.012508036141739532,0.0343120687399126,5.772310621829124,402.04761904761904,2
2024-01-31,0.004476323096702175,0.2647902829232876,0.0124866067026465,-0.13083961465280028,5.583396719826615,395.6666666666667,2
2024-02-01,-0.0003597181693124499,0.2572542103721463,0.0119937439974971,0.0013049376130099676,5.549777774434209,380.4047619047619,2
2024-02-02,-0.0011243775269326748,0.2433047204093314,0.011967218149272566,0.006232028352024167,5.55397157727171,379.0267857142857,2
2024-02-03,0.001389159704088225,0.212829205547767,0.011971515241126133,-0.028161700343503602,5.551376397656433,382.50714285714287,2
2024-02-04,-0.00021589355743102505,0.2255095975568883,0.012090960653149433,0.7164941063902587,5.640601133145511,386.98809523809524,2
2024-02-05,0.0114747473531742,0.2203198053770526,0.0119207887635583,0.8268782952015012,5.766487344442982,395.8928571428571,2
2024-02-06,-0.0023424405738401,0.2193590533816825,0.0106918015319077,0.7590008500978596,5.840183901316782,399.5357142857143,2
2024-02-08,-0.003088377854680825,0.2259523747248221,0.0107084289556428,0.10572659213299303,5.567304720238978,400.39285714285717,2
