target,horizon,model,rmse,mae,r2_oos,dir_acc,dm_t,folds,dm_z,dm_p,folds_better,bh_threshold,beats_rw
rel,1,ElasticNet,0.011774011064498815,0.007622595133010209,0.023014241366548338,0.559314984397367,3.0654147486267704,6,7.5087019841375495,5.972999872483342e-14,6.0,0.02857142857142857,True
rel,1,LightGBM,0.01187994224418946,0.0077663453786025035,0.004477830658547936,0.552266442181928,0.9849300272916676,6,2.4125759992100955,0.01584023467163531,4.0,0.04166666666666667,True
rel,1,MovingAvg,0.011908213680468668,0.007678532440764667,0.0,0.494102004580022,-0.25624336378665785,6,-0.6276654912516769,0.5302230961836059,2.0,0.05,False
rel,1,Naive,0.018921624946474334,0.012075407277589633,-1.446908606363574,0.48845473962142427,-12.655744318302387,6,-31.000115894968182,0.0,0.0,0.02142857142857143,False
rel,1,RandomForest,0.011759571912013841,0.007590211242873876,0.02510535510670538,0.5635539572120664,3.6442285757224475,6,8.926500516589487,0.0,6.0,0.02023809523809524,True
rel,1,RandomWalk,0.011908213680468668,0.007678532440764667,0.0,0.0,,6,,,0.0,,False
rel,1,Ridge,0.01528872969529439,0.010098914056060252,-1.11857675336099,0.5446111247002728,-5.389611221036982,6,-13.201797403519208,0.0,3.0,0.01904761904761905,False
rel,1,XGBoost,0.011994307259739915,0.007863095535044143,-0.01689960589563394,0.5561697805543777,-0.7963998280906898,6,-1.9507732100624302,0.051084030041141926,4.0,0.04285714285714286,False
rel,7,ElasticNet,0.02027608877217331,0.014986961074540813,-0.0957100263559248,0.5657307571909846,-1.4433258751282103,6,-3.5354119266201054,0.0004071399402043596,5.0,0.0380952380952381,False
rel,7,LightGBM,0.019287534018650822,0.014171617916697,0.027735748552639255,0.5757682467687286,2.4666915378220495,6,6.042135620505175,1.5208754255979784e-09,4.0,0.03214285714285715,True
rel,7,MovingAvg,0.019558613024894304,0.01432029267381415,0.0,0.4978403292029605,0.5827116842639327,6,1.4273462936044135,0.1534801030256434,4.0,0.047619047619047616,False
rel,7,Naive,0.09464861215606252,0.06054011692172609,-21.946506135364327,0.43729995423759843,-16.51108096320722,6,-40.44372346163868,0.0,0.0,0.013095238095238097,False
rel,7,RandomForest,0.019004165251602798,0.013922264782572505,0.05634542220012625,0.5826141583880151,6.244797662875381,6,15.296567820969612,0.0,6.0,0.011904761904761904,True
rel,7,RandomWalk,0.019558613024894304,0.01432029267381415,0.0,0.0,,6,,,0.0,,False
rel,7,Ridge,0.02399598942278595,0.017015214316002433,-0.8213357302922798,0.5544139491695185,-4.841716379215152,6,-11.859734608352824,0.0,3.0,0.010714285714285714,False
