horizon,target,auc,brier,brier_base,base_rate,folds,skill_vs_base
1,y_dn1,0.6041530935731383,0.04123103611181269,0.039932991942808485,0.0410829863614134,6,-0.032505557581641975
1,y_up1,0.6673167639897807,0.038072044803553064,0.038481708124159096,0.03991570018124526,6,0.010645663630218238
7,y_dn7,0.614952580588335,0.13468638233482497,0.1296822317284267,0.1511552222620235,6,-0.03858778908800464
7,y_up7,0.7049178224007034,0.13002519343048344,0.14272149232926576,0.16922884766462332,6,0.08895856322389983
30,y_dn30,0.6709736267924858,0.23448224886806876,0.2147157863223086,0.28161829905699554,6,-0.0920587297483979
30,y_up30,0.7371213897343657,0.15876150548234935,0.21307580892614805,0.2639438964085368,6,0.25490600607140723
