specification,horizon,pooled_t,mean_slope,t_newey_west,n_dates,independent_windows,n_world_days,t_inflation
acceleration 30d,90,-2.817122567731486,-0.05345621407218676,-0.7256441877858109,782,13,29831,3.882236797523994
acceleration 30d,180,-3.4247594063813995,-0.3164612328698978,-2.0657273593612957,692,6,22325,1.6578951674630984
cumulative 30d,365,2.455655382181188,-0.1108002353628961,-7.323444021758144,517,2,11570,0.3353142831276339
acceleration 90d,90,-4.008429586480725,-0.13913900130810605,-1.8390961743848702,722,12,24755,2.1795649636547365
cumulative 90d,365,2.089330642270329,-0.08877037244496067,-6.502455948204217,491,2,10520,0.3213140786978094
acceleration 180d,90,3.9983076105024717,-0.07011819536846656,-1.5014848201989413,632,11,17543,2.6629024527685274
cumulative 180d,180,-4.738104072941518,-0.05486130459930883,-2.8276923163677496,632,5,17543,1.6756080728852938
acceleration 180d,180,4.892946319682548,-0.12254519156833633,-1.1672723187901368,542,5,12270,4.191777908992159
