model,r2_all,r2_outside_band,r2_inside_band,dir_acc,corr
Ridge,0.061954474316555874,0.07449765760734228,0.006181457822588277,0.5884768691870998,0.2535593989861965
RandomForest,0.051166339914211156,0.05898121771949194,0.016417640271718326,0.5720497644643073,0.23477093233264046
Ensemble,0.0442882537298096,0.05806667188871384,-0.016977210181717828,0.570539920280227,0.22479573556603308
XGBoost,0.042232761957393006,0.05552087677764672,-0.01685257785328509,0.5686073197246044,0.22208901865097316
CatBoost,0.03841297026469159,0.05672036782663481,-0.04299051101377205,0.5656480251238072,0.2124324924987309
LightGBM,0.028394790655717705,0.04565324803948834,-0.04834459886053999,0.5696944075371422,0.21341517412187938
RandomWalk,0.0,0.0,0.0,0.0,
