feature,x,partial_dependence
log_age,4.770685,-0.00028746154050356907
log_age,4.9962475263157895,-0.00028746154050356907
log_age,5.22181005263158,-0.00028746154050356907
log_age,5.447372578947369,-0.0002967854504324037
log_age,5.672935105263158,-0.0002475511176146645
log_age,5.898497631578948,-0.00024458747003646206
log_age,6.124060157894737,-0.00024458747003646206
log_age,6.349622684210527,-0.00023901181526439798
log_age,6.575185210526316,-0.00021792088016268622
log_age,6.800747736842106,-0.00021792088016268622
log_age,7.026310263157895,-0.00021792088016268622
log_age,7.251872789473685,-0.00021128447405342922
log_age,7.477435315789474,-0.00021128447405342922
log_age,7.702997842105264,-0.00021128447405342922
log_age,7.928560368421053,-0.00018662835360543287
log_age,8.154122894736842,-0.00013676251244875597
log_age,8.379685421052631,-0.000132647330994095
log_age,8.605247947368422,1.1922912153809879e-05
log_age,8.830810473684211,4.437684484606454e-05
log_age,9.056373,0.0001256577139953313
premium_x_disp,-0.0133960722,-0.00013617057885450168
premium_x_disp,-0.010682886031578947,-0.00024354580228303513
premium_x_disp,-0.007969699863157894,-0.0002716109612691923
premium_x_disp,-0.005256513694736842,-0.00027346309399451193
premium_x_disp,-0.0025433275263157893,-0.0002448939064220475
premium_x_disp,0.00016985864210526322,-0.00013964990369816577
premium_x_disp,0.0028830448105263157,-0.000135178776833449
premium_x_disp,0.0055962309789473665,-0.00014514659682588835
premium_x_disp,0.00830941714736842,-0.00022750142503912555
premium_x_disp,0.011022603315789475,-0.00030473518227815697
premium_x_disp,0.013735789484210526,-0.00037087640424518693
premium_x_disp,0.01644897565263158,-0.00038522331847771585
premium_x_disp,0.019162161821052633,-0.0003825275619886826
premium_x_disp,0.021875347989473687,-0.0003906034132981033
premium_x_disp,0.024588534157894734,-0.00038713290022157116
premium_x_disp,0.02730172032631579,-0.0003844130976135137
premium_x_disp,0.030014906494736843,-0.0003844130976135137
premium_x_disp,0.0327280926631579,-0.0003844130976135137
premium_x_disp,0.03544127883157895,-0.0003844130976135137
premium_x_disp,0.038154465,-0.0003844130976135137
turnover_7,46.28571,0.0002681018317867064
turnover_7,71.11277789473684,0.0002681018317867064
turnover_7,95.93984578947368,0.0002681018317867064
turnover_7,120.76691368421052,0.0002681018317867064
turnover_7,145.59398157894736,0.00016914543941274457
turnover_7,170.4210494736842,0.00015007307497717434
turnover_7,195.24811736842105,8.137434687111443e-05
turnover_7,220.0751852631579,3.805886447630972e-05
turnover_7,244.90225315789473,-2.9356843746564825e-05
turnover_7,269.7293210526316,-6.714070101420602e-05
turnover_7,294.5563889473684,-8.046119289725313e-05
turnover_7,319.38345684210526,-0.0001174542614599938
turnover_7,344.2105247368421,-0.00011718502251486786
turnover_7,369.03759263157895,-0.0001068731267464734
turnover_7,393.8646605263158,-0.00010192848676270143
turnover_7,418.69172842105263,-0.00012029448786856076
turnover_7,443.5187963157895,-0.0001255144733581018
turnover_7,468.3458642105263,-0.00012394316885140278
turnover_7,493.17293210526316,-0.0001237552035477196
