world,cities_total,vocations_total,voc_knight,voc_paladin,voc_elite_knight,voc_monk,voc_royal_paladin,voc_elder_druid,voc_sorcerer,voc_druid,voc_master_sorcerer,voc_exalted_monk,voc_none,gender_total,female,male,account_total,free_accounts,premium_accounts,levels_total,mean_level,median_level,chars_level_100plus,chars_level_400plus,vocgrp_druid,vocgrp_paladin,vocgrp_sorcerer,vocgrp_knight,vocgrp_monk,population,premium_share,pct_level_100plus
Idyllia,2730,2730,831,397,221,362,190,97,204,151,122,147,8,2730,574,2156,2730,1254,1476,2730,75.43956043956044,37.0,586,75,248,587,326,1052,509,2730,0.5406593406593406,0.21465201465201464
Ignibra,2542,2542,616,415,105,226,83,162,380,261,227,53,14,2542,415,2127,2542,1109,1433,2542,49.590086546026754,28.0,270,25,423,498,607,721,279,2542,0.5637293469708891,0.10621557828481511
Ignitera,3044,3044,878,381,306,359,204,166,197,202,169,162,20,3044,598,2446,3044,1528,1516,3044,105.5607752956636,53.0,975,157,368,585,366,1184,521,3044,0.4980289093298292,0.3203022339027595
Inabra,8239,8239,1083,535,1082,250,737,1215,870,1241,837,352,37,8239,1559,6680,8239,3510,4729,8239,303.7383177570093,222.0,5771,2136,2456,1272,1707,2165,602,8239,0.5739774244447141,0.7004490836266537
Issobra,3966,3966,1111,367,668,267,366,216,277,254,179,254,7,3966,924,3042,3966,1755,2211,3966,219.15380736258194,105.0,2063,686,470,733,456,1779,521,3966,0.5574886535552194,0.5201714573877962
Jadebra,4925,4925,1114,403,822,254,488,529,265,334,395,299,22,4925,940,3985,4925,1903,3022,4925,264.3539086294416,155.0,3087,1155,863,891,660,1936,553,4925,0.6136040609137056,0.6268020304568528
Junera,2555,2555,692,292,292,316,231,162,115,105,184,164,2,2555,656,1899,2555,481,2074,2555,58.29236790606654,32.0,407,13,267,523,299,984,480,2555,0.8117416829745597,0.15929549902152643
Kalanta,4031,4031,933,401,758,271,469,277,210,159,262,286,5,4031,893,3138,4031,1242,2789,4031,203.668320516001,100.0,2019,680,436,870,472,1691,557,4031,0.6918878690151328,0.500868270900521
Kalibra,4365,4365,961,309,918,244,521,326,236,275,271,292,12,4365,900,3465,4365,1720,2645,4365,392.7860252004582,317.0,3400,1752,601,830,507,1879,536,4365,0.6059564719358533,0.7789232531500573
Kalimera,2805,2805,818,352,304,345,197,126,162,142,164,186,9,2805,681,2124,2805,1248,1557,2805,90.47736185383245,40.0,632,137,268,549,326,1122,531,2805,0.5550802139037433,0.22531194295900178
Kanda,3594,3594,1088,391,470,364,315,188,187,120,225,230,16,3594,670,2924,3594,992,2602,3594,99.49693934335002,50.0,1208,132,308,706,412,1558,594,3594,0.7239844184752365,0.3361157484696717
Karmeya,4366,4366,954,387,868,237,559,292,257,254,225,317,16,4366,902,3464,4366,1575,2791,4366,286.24347228584514,196.0,2906,1235,546,946,482,1822,554,4366,0.6392579019697664,0.6655978011910215
Lobera,13328,13328,2266,1483,1496,261,1096,1242,1531,1785,1043,434,691,13328,2559,10769,13328,7166,6162,13328,215.38062725090035,126.0,7932,2140,3027,2579,2574,3762,695,13328,0.46233493397358943,0.5951380552220888
