state,model,rmse
0.0,LightGBM,0.019106741665527192
0.0,RandomWalk,0.019589795911273637
1.0,LightGBM,0.01853349531395921
1.0,RandomWalk,0.018758575282834793
2.0,LightGBM,0.01919845087910041
2.0,RandomWalk,0.018914382250224977
3.0,LightGBM,0.022628170267537988
3.0,RandomWalk,0.022849976707337197
