model,rmse,r2_oos,worlds,worlds_better
RandomWalk,0.021790414324217952,0.0,61,0
ARIMA,0.039744687478477744,-1.5171742483238493,61,3
StructuralTS,0.06121554817857642,-2.2048709649683804,61,1
Prophet,0.08872297505914158,-8.662712965523774,12,1
