bin,n,closure_pp,se,p
0-2%,4767,-0.4099849783929374,0.019915414673725436,3.640330816149618e-94
2-4%,8289,-0.06801449914168714,0.014202513078433147,1.6769306039825232e-06
4-6%,6985,0.049960797912476325,0.01766307239900672,0.004676010356289806
6-10%,8436,0.15584656465679805,0.015460637487677873,6.75774341064537e-24
>10%,1542,0.5784985315595902,0.05683325936038568,2.463983260936314e-24
