horizon,selector,n,n_effective,net_pct,t_newey_west,share_profitable
7,raw deviation,2963,119,0.6366716882314142,5.437361625916714,0.5973675329058387
7,dispersion-normalised,2963,111,0.6052989586260935,5.68381229536119,0.5808302396220048
30,raw deviation,2823,27,1.5911137267170559,4.934662437736754,0.7056323060573858
30,dispersion-normalised,2823,25,1.027523496658518,4.327843452502839,0.5961742826780021
91,raw deviation,2451,8,4.041225095215115,5.423797148442851,0.8816809465524276
91,dispersion-normalised,2451,7,0.9075099767199903,2.115629244344713,0.5193798449612403
