horizon,model,rmse_log,mae_log,median_abs_log,mae_gp,mae_pct_of_level,share_within_2pct,share_within_5pct
7,random walk,0.01448237063452768,0.010710705918680818,0.008356494350576504,428.2874742210876,1.0710705918680818,0.8711217183770883,0.9904534606205251
7,shrunk drift,0.01484446849995277,0.011065174137054542,0.008566071501070346,442.4615444543248,1.106517413705454,0.8591885441527446,0.9904534606205251
30,random walk,0.04120008084130602,0.0314270254472019,0.022882262610870896,1256.6679967926634,3.1427025447201897,0.44785276073619634,0.7705521472392638
30,shrunk drift,0.045570699800568236,0.03422499389377658,0.025131946729456168,1368.5499631198059,3.4224993893776583,0.4208588957055215,0.7533742331288343
91,random walk,0.08674592810228479,0.07005091780812782,0.057819278295141885,2801.11608727721,7.005091780812782,0.14323607427055704,0.4336870026525199
91,shrunk drift,0.11867754945805656,0.09142468661867266,0.07566535220940118,3655.7859407821766,9.142468661867266,0.09946949602122016,0.32625994694960214
