name,level,vocation,former_world,current_world,change_date
Hadestz Check at Tibia.com Compare character,1227,EDElder Druid,Nefera,Belobra,2026-07-28
Za Duzy Cukier Check at Tibia.com Compare character,1226,MSMaster Sorcerer,Blumera,Karmeya,2026-07-27
Xtezeta Check at Tibia.com Compare character,1221,EKElite Knight,Belobra,Secura,2026-07-25
Do Not Disturb Check at Tibia.com Compare character,1218,RPRoyal Paladin,Celebra,Pacera,2026-07-30
Mig Bike Check at Tibia.com Compare character,1216,EDElder Druid,Wintera,Antica,2026-07-23
Beatricks Check at Tibia.com Compare character,1216,MSMaster Sorcerer,Ferobra,Quelibra,2026-07-26
Niellist Check at Tibia.com Compare character,1215,EDElder Druid,Peloria,Vunira,2026-07-24
Rorox Neverdies Check at Tibia.com Compare character,1215,RPRoyal Paladin,Antica,Ferobra,2026-07-24
Dwarf Black Belt Check at Tibia.com Compare character,1214,EKElite Knight,Rasteibra,Honbra,2026-07-26
Malandroxo Check at Tibia.com Compare character,1214,EMExalted Monk,Solidera,Firmera,2026-07-30
Forever Jaded Check at Tibia.com Compare character,1209,MSMaster Sorcerer,Antica,Vunira,2026-07-24
Kyos Mosus Check at Tibia.com Compare character,1205,RPRoyal Paladin,Dia,Collabra,2026-07-28
Bixao Ocueistore Check at Tibia.com Compare character,1201,EKElite Knight,Honbra,Ferobra,2026-07-24
Beo Ez Check at Tibia.com Compare character,1201,RPRoyal Paladin,Solidera,Antica,2026-07-30
The Rik Check at Tibia.com Compare character,1200,EKElite Knight,Xyla,Citra,2026-07-25
Metaleiro Veeloz Check at Tibia.com Compare character,1196,EKElite Knight,Secura,Kalibra,2026-07-26
Compadreexz Check at Tibia.com Compare character,1192,MSMaster Sorcerer,Talera,Quintera,2026-07-30
Chuyzh Wayne Check at Tibia.com Compare character,1187,EDElder Druid,Ourobra,Aethera,2026-07-25
Cosmogrand Check at Tibia.com Compare character,1187,EKElite Knight,Serdebra,Vunira,2026-07-30
Coppolon Neverdie Check at Tibia.com Compare character,1173,EKElite Knight,Xymera,Aethera,2026-07-27
Duke Returns Check at Tibia.com Compare character,1171,RPRoyal Paladin,Secura,Belobra,2026-07-24
Matakina Plus Check at Tibia.com Compare character,1168,MSMaster Sorcerer,Gentebra,Nefera,2026-07-30
North Henhan Check at Tibia.com Compare character,1159,EKElite Knight,Bona,Refugia,2026-07-30
Szef Bobi Check at Tibia.com Compare character,1153,EKElite Knight,Vunira,Antica,2026-07-23
Donio No Fear Check at Tibia.com Compare character,1153,MSMaster Sorcerer,Havera,Vunira,2026-07-26
Pune Edbombinhatres Check at Tibia.com Compare character,1148,EDElder Druid,Inabra,Quelibra,2026-07-26
Rakz Ek Check at Tibia.com Compare character,1148,EKElite Knight,Inabra,Firmera,2026-07-30
Violent Wolf Check at Tibia.com Compare character,1146,RPRoyal Paladin,Antica,Vunira,2026-07-24
Chentesz Check at Tibia.com Compare character,1142,EKElite Knight,Antica,Vunira,2026-07-24
Rayyzen Check at Tibia.com Compare character,1140,EDElder Druid,Etebra,Descubra,2026-07-26
Maik Gunz Check at Tibia.com Compare character,1139,EDElder Druid,Quintera,Havera,2026-07-30
Yuca Arrogante Check at Tibia.com Compare character,1138,RPRoyal Paladin,Solidera,Antica,2026-07-25
Smokerqt Check at Tibia.com Compare character,1134,EKElite Knight,Eclipta,Noctalia,2026-07-25
El Tartas Check at Tibia.com Compare character,1133,MSMaster Sorcerer,Bona,Refugia,2026-07-28
Pabicatore Check at Tibia.com Compare character,1132,EKElite Knight,Solidera,Premia,2026-07-26
Seraphin Justholy Check at Tibia.com Compare character,1129,RPRoyal Paladin,Blumera,Kalimera,2026-07-23
Scampia Check at Tibia.com Compare character,1123,EDElder Druid,Antica,Vunira,2026-07-24
Mosip Check at Tibia.com Compare character,1118,RPRoyal Paladin,Serdebra,Antica,2026-07-25
Avada Kedavrah Check at Tibia.com Compare character,1117,MSMaster Sorcerer,Blumera,Kalimera,2026-07-25
Neto Bombinha Check at Tibia.com Compare character,1116,EDElder Druid,Serdebra,Quelibra,2026-07-24
Halfgold Check at Tibia.com Compare character,1115,RPRoyal Paladin,Karmeya,Dia,2026-07-24
Uis Check at Tibia.com Compare character,1115,EKElite Knight,Yonabra,Nefera,2026-07-30
Kapii Check at Tibia.com Compare character,1114,EDElder Druid,Bona,Refugia,2026-07-28
Fabin Viit Patrocinou Check at Tibia.com Compare character,1112,MSMaster Sorcerer,Pacera,Belobra,2026-07-24
Blood Warden Check at Tibia.com Compare character,1111,EKElite Knight,Nevia,Luzibra,2026-07-23
Paraibe Labubu Tiamoxingxing Check at Tibia.com Compare character,1110,RPRoyal Paladin,Cantabra,Jadebra,2026-07-24
Zukin Check at Tibia.com Compare character,1103,EDElder Druid,Collabra,Collabra,2026-07-26
Miigure Check at Tibia.com Compare character,1102,EDElder Druid,Honbra,Jadebra,2026-07-27
Akirion Dpain Check at Tibia.com Compare character,1102,RPRoyal Paladin,Talera,Quintera,2026-07-28
Gust avin Check at Tibia.com Compare character,1100,RPRoyal Paladin,Unebra,Cantabra,2026-07-27
Last Bidu Check at Tibia.com Compare character,1097,EDElder Druid,Nevia,Ustebra,2026-07-24
Danyek Obstinado Check at Tibia.com Compare character,1093,MSMaster Sorcerer,Wintera,Peloria,2026-07-28
Duke the Nuke Check at Tibia.com Compare character,1085,MSMaster Sorcerer,Bona,Bona,2026-07-30
Lysa Lepka Klata Check at Tibia.com Compare character,1083,EDElder Druid,Belobra,Monza,2026-07-26
Shoxzzera Check at Tibia.com Compare character,1082,EMExalted Monk,Nevia,Etebra,2026-07-26
Patroclo San Check at Tibia.com Compare character,1082,RPRoyal Paladin,Xymera,Aethera,2026-07-27
Onniszao isback Check at Tibia.com Compare character,1080,RPRoyal Paladin,Nevia,Collabra,2026-07-26
Lewis Rothschild Check at Tibia.com Compare character,1079,MSMaster Sorcerer,Xymera,Aethera,2026-07-27
Baby Cedric Check at Tibia.com Compare character,1078,MSMaster Sorcerer,Solidera,Havera,2026-07-26
Pichama Final Boss Check at Tibia.com Compare character,1076,EDElder Druid,Xymera,Aethera,2026-07-29
Sick Ee Kay Check at Tibia.com Compare character,1071,EKElite Knight,Antica,Premia,2026-07-24
Yvnaxnivyx Check at Tibia.com Compare character,1071,EKElite Knight,Xyla,Noctalia,2026-07-27
Mito Shaez Check at Tibia.com Compare character,1068,EKElite Knight,Talera,Solidera,2026-07-30
Jebgeess Check at Tibia.com Compare character,1065,EDElder Druid,Xyla,Citra,2026-07-25
Onepunch monk Check at Tibia.com Compare character,1063,EMExalted Monk,Lobera,Havera,2026-07-26
Brielc Check at Tibia.com Compare character,1058,MSMaster Sorcerer,Secura,Celesta,2026-07-23
Lompsterk Check at Tibia.com Compare character,1054,EKElite Knight,Blumera,Issobra,2026-07-26
Gonsu Here Check at Tibia.com Compare character,1053,RPRoyal Paladin,Harmonia,Secura,2026-07-25
Elite Tankaoo Check at Tibia.com Compare character,1053,EKElite Knight,Kalibra,Belobra,2026-07-26
Haj Swift Check at Tibia.com Compare character,1048,RPRoyal Paladin,Ignitera,Quidera,2026-07-29
Moonshine Enthusiast Check at Tibia.com Compare character,1042,MSMaster Sorcerer,Sonira,Bravoria,2026-07-25
Synba Check at Tibia.com Compare character,1041,EDElder Druid,Lobera,Havera,2026-07-26
Quemmm eva eadao Check at Tibia.com Compare character,1040,RPRoyal Paladin,Tornabra,Quelibra,2026-07-28
Garpin Commander Check at Tibia.com Compare character,1038,EKElite Knight,Ferobra,Quelibra,2026-07-28
Nimertix Venemexa Check at Tibia.com Compare character,1035,RPRoyal Paladin,Xymera,Aethera,2026-07-29
Zwitu Check at Tibia.com Compare character,1034,RPRoyal Paladin,Bona,Refugia,2026-07-30
Lordicus Sagittarius Check at Tibia.com Compare character,1033,RPRoyal Paladin,Antica,Peloria,2026-07-28
Archemorus Check at Tibia.com Compare character,1031,EKElite Knight,Lobera,Serdebra,2026-07-28
Rithz Techutei Praopen Check at Tibia.com Compare character,1030,EDElder Druid,Gladibra,Sombra,2026-07-23
Eteriasek Check at Tibia.com Compare character,1029,EKElite Knight,Kalibra,Monza,2026-07-26
Luc cas Check at Tibia.com Compare character,1027,EKElite Knight,Refugia,Belobra,2026-07-24
Maniatic Oneblood Check at Tibia.com Compare character,1021,EDElder Druid,Serdebra,Talera,2026-07-30
Twoweeks Check at Tibia.com Compare character,1020,EDElder Druid,Antica,Premia,2026-07-28
Gwiezdna Pileczka Check at Tibia.com Compare character,1015,EKElite Knight,Sonira,Bravoria,2026-07-25
Marko Ciara Check at Tibia.com Compare character,1015,RPRoyal Paladin,Secura,Monza,2026-07-26
Thupaj Don Rothschild Check at Tibia.com Compare character,1015,EDElder Druid,Xymera,Aethera,2026-07-27
Mala Sherus Check at Tibia.com Compare character,1012,EDElder Druid,Bona,Refugia,2026-07-30
Mago Sobral Check at Tibia.com Compare character,1011,MSMaster Sorcerer,Xymera,Honbra,2026-07-24
Slayer Boltz Check at Tibia.com Compare character,1010,RPRoyal Paladin,Gentebra,Celesta,2026-07-23
Royal Brys Check at Tibia.com Compare character,1009,RPRoyal Paladin,Pacera,Oceanis,2026-07-25
Carlao Reborn Check at Tibia.com Compare character,1009,EDElder Druid,Pacera,Calmera,2026-07-25
Kzy Shimote Check at Tibia.com Compare character,1009,EKElite Knight,Yubra,Yovera,2026-07-26
Not Mochila Check at Tibia.com Compare character,1004,EKElite Knight,Jadebra,Quidera,2026-07-29
Fireblade Sekaini Itamio Check at Tibia.com Compare character,1004,EKElite Knight,Xymera,Aethera,2026-07-29
Darth Rothschild Check at Tibia.com Compare character,1003,EDElder Druid,Xymera,Aethera,2026-07-27
Saint Shake Check at Tibia.com Compare character,1001,EMExalted Monk,Ourobra,Xybra,2026-07-23
Pepa Paladin Check at Tibia.com Compare character,1001,RPRoyal Paladin,Serdebra,Talera,2026-07-24
Resyut Check at Tibia.com Compare character,1001,RPRoyal Paladin,Solidera,Pacera,2026-07-24
Saborzinho da Manteiga Check at Tibia.com Compare character,997,MSMaster Sorcerer,Premia,Inabra,2026-07-28
Elchapas Check at Tibia.com Compare character,996,RPRoyal Paladin,Monza,Luminera,2026-07-28
Stalowy Rumak Check at Tibia.com Compare character,995,RPRoyal Paladin,Xyla,Citra,2026-07-23
Bagsek Check at Tibia.com Compare character,992,EKElite Knight,Gentebra,Celesta,2026-07-28
Rayoonn Check at Tibia.com Compare character,991,RPRoyal Paladin,Stralis,Sonira,2026-07-23
Feiticeira Mortal Check at Tibia.com Compare character,988,MSMaster Sorcerer,Quintera,Talera,2026-07-24
Lo Cientifiko Check at Tibia.com Compare character,983,RPRoyal Paladin,Antica,Epoca,2026-07-30
Kinorr Check at Tibia.com Compare character,981,RPRoyal Paladin,Bona,Monza,2026-07-26
Smoke Mithjynn Check at Tibia.com Compare character,979,EDElder Druid,Nefera,Gentebra,2026-07-26
Vi tuu Check at Tibia.com Compare character,978,RPRoyal Paladin,Ourobra,Quidera,2026-07-29
Peenutz Check at Tibia.com Compare character,977,EDElder Druid,Secura,Celesta,2026-07-28
Dazzra Check at Tibia.com Compare character,974,EDElder Druid,Vunira,Ferobra,2026-07-28
King Mankel Check at Tibia.com Compare character,970,RPRoyal Paladin,Aethera,Xymera,2026-07-29
Wex Boo Check at Tibia.com Compare character,968,MSMaster Sorcerer,Blumera,Yovera,2026-07-24
Mystic Root Check at Tibia.com Compare character,966,EDElder Druid,Astera,Secura,2026-07-23
Ze onnic Check at Tibia.com Compare character,965,MSMaster Sorcerer,Lobera,Solidera,2026-07-28
Riurr Check at Tibia.com Compare character,964,RPRoyal Paladin,Kalanta,Venebra,2026-07-26
Demonic knight horse Check at Tibia.com Compare character,962,EKElite Knight,Oceanis,Zunera,2026-07-30
Yuniorzawer Openpvp Check at Tibia.com Compare character,961,EKElite Knight,Xymera,Aethera,2026-07-27
Dropz Rothschild Check at Tibia.com Compare character,958,RPRoyal Paladin,Xymera,Aethera,2026-07-27
Spyki Shal Check at Tibia.com Compare character,958,RPRoyal Paladin,Thyria,Quintera,2026-07-28
Grandpaladin Check at Tibia.com Compare character,958,RPRoyal Paladin,Xymera,Honbra,2026-07-30
Sofia Valentinaa Check at Tibia.com Compare character,956,EKElite Knight,Quintera,Antica,2026-07-27
Sheik Bruce Check at Tibia.com Compare character,955,MSMaster Sorcerer,Cantabra,Aethera,2026-07-27
Merciless Fury Check at Tibia.com Compare character,955,RPRoyal Paladin,Dia,Nevia,2026-07-29
Marcelin Desigual Check at Tibia.com Compare character,954,EDElder Druid,Inabra,Antica,2026-07-30
Nyx Arcana Check at Tibia.com Compare character,953,MSMaster Sorcerer,Yovera,Etebra,2026-07-28
Lucianoo Alzado Check at Tibia.com Compare character,952,RPRoyal Paladin,Unebra,Cantabra,2026-07-29
Cezsarz Check at Tibia.com Compare character,951,EDElder Druid,Havera,Solidera,2026-07-26
Aaron Revenge Check at Tibia.com Compare character,951,MSMaster Sorcerer,Xymera,Aethera,2026-07-27
Naayad Check at Tibia.com Compare character,950,MSMaster Sorcerer,Quelibra,Ferobra,2026-07-30
Wakkazenho Check at Tibia.com Compare character,949,EKElite Knight,Celebra,Calmera,2026-07-25
Its Najkon Check at Tibia.com Compare character,943,EKElite Knight,Dia,Blumera,2026-07-23
Apeiros Check at Tibia.com Compare character,942,EKElite Knight,Blumera,Kalimera,2026-07-23
Comandante George Check at Tibia.com Compare character,942,EKElite Knight,Menera,Yonabra,2026-07-24
Santa Druida Check at Tibia.com Compare character,942,EDElder Druid,Yubra,Sonira,2026-07-29
Fulllhpgems unlocked Check at Tibia.com Compare character,940,EDElder Druid,Peloria,Havera,2026-07-28
