horizon,target,fold,base_rate,auc,brier,brier_base
1,y_up1,0,0.05305821665438467,0.609576307825335,0.0504154347685196,0.05037490150637886
1,y_up1,1,0.027682648401826482,0.6977084776944981,0.028202681064646157,0.027995201724796675
1,y_up1,2,0.037817396002161,0.6549490655330071,0.03603120686362569,0.036441608841093175
1,y_up1,3,0.04450393173833027,0.600842194788319,0.04245376021987096,0.042526150572179656
1,y_up1,4,0.037894736842105266,0.7301985574195639,0.03578488807166101,0.036489335003964056
1,y_up1,5,0.038804254096004596,0.7076732234626971,0.035939771660080055,0.03730769320815371
1,y_dn1,0,0.047899778924097275,0.6771731364610623,0.048891168427083326,0.04708105419347853
1,y_dn1,1,0.03538812785388128,0.5691162435579309,0.03725109424095589,0.03549297514634568
1,y_dn1,2,0.039978390059427334,0.5052852514867147,0.0425781073683523,0.03861100501674412
1,y_dn1,3,0.03262506274050527,0.5919892859360172,0.03200544547435319,0.0318728027448699
1,y_dn1,4,0.052491228070175436,0.6394334925227951,0.04888569741566181,0.04980777325479646
1,y_dn1,5,0.03822937625754527,0.6441531578497948,0.03825008318932053,0.03683578778123071
7,y_up7,0,0.2800294767870302,0.6536416527500942,0.20072249986529395,0.2069755251879145
7,y_up7,1,0.1004566210045662,0.710990226263267,0.08752426991372866,0.11058428733185205
7,y_up7,2,0.15262020529443543,0.7360039042995252,0.11705093254942713,0.12995832571343874
7,y_up7,3,0.2183369583403045,0.6897895836613657,0.15940256305548567,0.17375297392410857
7,y_up7,4,0.09726315789473684,0.7234114869376064,0.08152917489457322,0.09612299587849599
7,y_up7,5,0.16297786720321933,0.7105513947031803,0.13394889266506668,0.1364256323518585
7,y_dn7,0,0.16359616801768606,0.719057824344168,0.12916912098885294,0.13941349117170226
7,y_dn7,1,0.16837899543378995,0.5362144178309273,0.14849276302488162,0.14029164521375476
7,y_dn7,2,0.16801728795245813,0.49241397669854264,0.16135302428819429,0.13983024715527262
7,y_dn7,3,0.09118286765936089,0.658597201767305,0.08671732412675229,0.09085262081690158
7,y_dn7,4,0.19831578947368422,0.6321591623202713,0.15520657265550974,0.16197841811053387
7,y_dn7,5,0.11799367634377694,0.6266175274790379,0.12939063549783575,0.10609995454386832
30,y_up30,0,0.37877671333824614,0.830340039972121,0.1671306854155731,0.25235481707888496
30,y_up30,1,0.10388127853881278,0.6820523027927486,0.10336637908315775,0.1699966101961816
30,y_up30,2,0.32522960561858455,0.8617861066261647,0.14182231752613816,0.2226826129244027
30,y_up30,3,0.4520662539735653,0.8902473711867377,0.15975652134907078,0.29908476919825955
30,y_up30,4,0.09501754385964913,0.6480238682554402,0.10869962794385267,0.1563491378308385
30,y_up30,5,0.2161540672607071,0.5236743089202537,0.26136167588993786,0.17218508011220499
30,y_dn30,0,0.2527634487840825,0.7383310044220562,0.2279405553201468,0.21564017911122396
30,y_dn30,1,0.4671803652968037,0.5442606843157971,0.29495269353111137,0.2804252434394045
30,y_dn30,2,0.25418692598595355,0.5897291906665676,0.19786309172994912,0.19661764384128824
30,y_dn30,3,0.2096369416095031,0.8710363544090287,0.1297506403464722,0.19334693138448988
30,y_dn30,4,0.3834385964912281,0.6116630293968942,0.2657421742807003,0.2511612165886885
30,y_dn30,5,0.12460477148605921,0.656772703576684,0.285094766993822,0.15181235513766106
