gamma_pct,ssr,lr
0.3892,4.151397635926557,68.76885154269009
0.46369999999999995,4.15195343193721,72.80039905155105
0.5349999999999999,4.1511303143570535,66.8297955096504
0.5891000000000001,4.151016057705619,66.00101820713029
0.6463,4.151239342138364,67.62064443932022
0.6973,4.151128579328381,66.8172102258605
0.7493,4.15073391292305,63.95443983394481
0.7944,4.149261350560884,53.27299374754216
0.845,4.148477600014253,47.5879447308608
0.8992999999999999,4.147361108399245,39.48930979489048
0.9563,4.147334548934063,39.29665683654234
1.0014,4.14745050621497,40.137769903226946
1.0463,4.147927299661617,43.59626077978999
1.0841,4.148325796046791,46.48681248966675
1.1287,4.148764327009229,49.66776085073713
1.169,4.147883749063401,43.28036015728797
1.212,4.147359531571147,39.477872042064234
1.2502,4.147141337981131,37.89517298086423
1.287,4.146839007289833,35.702173171596485
1.3221,4.146673080661085,34.49860014487368
1.3635,4.1469187485062005,36.280587726647376
1.4018,4.1461894219682645,30.990311202880697
1.4326,4.147258957339558,38.74834216950847
1.4652,4.147222210842616,38.48179608899786
1.4957,4.146436688196266,32.78389288827721
1.5282,4.145633743478722,26.959616150556794
1.5599999999999998,4.144729733869502,20.402250465698888
1.5918999999999999,4.145428748518977,25.47265528101533
1.6271999999999998,4.144725749161383,20.373346803594703
1.6597,4.144430761379198,18.2336098576327
1.6903000000000001,4.143358535851412,10.456065448128697
1.7227,4.142805243868779,6.44268127209317
1.7552999999999999,4.1428737420191295,6.939542606315925
1.7878999999999998,4.141917044848162,0.0
1.8153,4.142397531058981,3.4852768806159973
1.8426999999999998,4.142098889012411,1.3190331944231235
1.871,4.142116069101839,1.4436514813592702
1.8946999999999998,4.142934631122432,7.3812106068605745
1.918,4.143368798198059,10.530504877824697
1.9460000000000002,4.143737285212765,13.203379237679847
1.9730999999999999,4.144148939586122,16.189374335896733
2.0042999999999997,4.1446835336829615,20.06713066745289
2.0354,4.1446423143762985,19.7681404086007
2.0595,4.145508044108052,26.047837413433275
2.0843,4.145325255649771,24.72195464438744
2.1101,4.145831245188609,28.392223638247728
2.1311,4.146573683998352,33.77761193994333
2.1532,4.1468859379689,36.04259170403752
2.1753,4.1468370546779525,35.68800961624444
2.2046,4.14667057569753,34.480430026007056
2.2352,4.147168316932964,38.090868746884595
2.261,4.147432978673241,40.010631320299964
2.2807999999999997,4.1475256435127354,40.682789262532
2.3046,4.147799262298203,42.66752307095144
2.327,4.147852380864278,43.05282634523039
2.3515,4.14846334841927,47.48456870593308
2.3742,4.148564363466939,48.21729610228115
2.3973999999999998,4.148947249890155,50.99461867406736
2.4198999999999997,4.148926706401269,50.845603478106476
2.4444,4.149058864316938,51.80423021431589
2.4722999999999997,4.1493192390146065,53.69289609826419
2.4953,4.149761672926052,56.902155069780456
2.5169,4.14976630610548,56.93576251320445
2.5399000000000003,4.1499122185132915,57.99415946631036
2.5591,4.149937261920234,58.17581547487949
2.5843000000000003,4.149843034406965,57.49232245026996
2.6073,4.149963799093567,58.368306736044474
2.6328,4.150182311944502,59.95332160293242
2.6589,4.1498735028490845,57.71332974354187
2.683,4.150071406620226,59.14885364124288
2.7066,4.1504851404681835,62.14993251207552
2.7331000000000003,4.150826075317502,64.62295321770817
2.7565,4.1512797777218085,67.91394984738238
2.7821,4.151503019233014,69.53326474192114
2.8099,4.151536574618958,69.77666363291156
2.8308,4.151457594825761,69.20377217199653
2.8551,4.151657970944756,70.6572296058133
2.8768,4.1519277775256,72.61431103142161
2.9025,4.151962371405865,72.86524279259311
2.9287,4.152148099763915,74.21245055383514
2.9532,4.152175487152048,74.411108972188
2.9822,4.1522691292597615,75.09035567212833
3.0016000000000003,4.15226155522779,75.03541632542384
3.0267,4.152327498730897,75.51374715288686
3.0534,4.152450547866521,76.40630202316906
3.0747,4.152538611614564,77.04508527680748
3.0968,4.152682618899084,78.08966313997537
3.1222,4.152776294486237,78.76915268791927
