dow,mean,std,size,mean_pct,t
0,-0.00026478902719528175,0.012651233103296529,4461,-0.026478902719528175,-1.3979229596654688
1,0.000804059776666657,0.012244065429944781,4457,0.0804059776666657,4.384135943118542
2,0.0010984195175158212,0.012547211123396112,4455,0.10984195175158212,5.843121133051496
3,0.00018561714101100074,0.012812556611110972,4459,0.018561714101100073,0.9673887175510714
4,-0.00015770353035023007,0.01259320472345156,4472,-0.015770353035023006,-0.8374445284462095
5,-0.000659212051063836,0.013018394358043809,4468,-0.0659212051063836,-3.3847320761491093
6,-0.00048266433477997376,0.012588620003870335,4456,-0.048266433477997375,-2.5594088997024564
