world,side,amount,price,value,fee_uncapped,fee_actual,eff_rate_pct,dec
Dracobra,buyers,100,36501,3650100,73002.0,73002.0,2.0,2
Dracobra,buyers,9825,35451,348306075,6966121.5,1000000.0,0.28710380661606316,7
Dracobra,buyers,275,35450,9748750,194975.0,194975.0,2.0,4
Dracobra,buyers,25,35423,885575,17711.5,17711.5,2.0,0
Dracobra,buyers,25,35422,885550,17711.0,17711.0,2.0,0
Dracobra,buyers,75,35401,2655075,53101.5,53101.5,2.0,1
Dracobra,buyers,175,35371,6189925,123798.5,123798.5,2.0,3
Dracobra,buyers,25,35348,883700,17674.0,17674.0,2.0,0
Dracobra,buyers,50,35215,1760750,35215.0,35215.0,2.0,0
Dracobra,buyers,25,35115,877875,17557.5,17557.5,2.0,0
Dracobra,buyers,50,35015,1750750,35015.0,35015.0,2.0,0
Dracobra,buyers,100,34377,3437700,68754.0,68754.0,2.0,2
Dracobra,buyers,75,34192,2564400,51288.0,51288.0,2.0,1
Dracobra,buyers,75,34165,2562375,51247.5,51247.5,2.0,1
Dracobra,buyers,50,34120,1706000,34120.0,34120.0,2.0,0
Dracobra,buyers,25,34118,852950,17059.0,17059.0,2.0,0
Dracobra,buyers,50,34105,1705250,34105.0,34105.0,2.0,0
Dracobra,buyers,75,34055,2554125,51082.5,51082.5,2.0,1
Dracobra,buyers,25,34027,850675,17013.5,17013.5,2.0,0
Dracobra,buyers,75,34015,2551125,51022.5,51022.5,2.0,1
Dracobra,buyers,50,34001,1700050,34001.0,34001.0,2.0,0
Dracobra,buyers,200,33840,6768000,135360.0,135360.0,2.0,3
Dracobra,buyers,200,33785,6757000,135140.0,135140.0,2.0,3
Dracobra,buyers,575,33632,19338400,386768.0,386768.0,2.0,5
Dracobra,buyers,25,33621,840525,16810.5,16810.5,2.0,0
Dracobra,buyers,75,33305,2497875,49957.5,49957.5,2.0,1
Dracobra,buyers,75,33210,2490750,49815.0,49815.0,2.0,1
Dracobra,buyers,100,33201,3320100,66402.0,66402.0,2.0,2
Dracobra,buyers,100,32525,3252500,65050.0,65050.0,2.0,2
Dracobra,buyers,75,32100,2407500,48150.0,48150.0,2.0,1
Dracobra,buyers,100,31261,3126100,62522.0,62522.0,2.0,2
Dracobra,buyers,50,30492,1524600,30492.0,30492.0,2.0,0
Dracobra,buyers,50,30462,1523100,30462.0,30462.0,2.0,0
Dracobra,buyers,825,30420,25096500,501930.0,501930.0,2.0,5
Dracobra,buyers,50,30418,1520900,30418.0,30418.0,2.0,0
Dracobra,buyers,75,30416,2281200,45624.0,45624.0,2.0,1
Dracobra,buyers,25,30404,760100,15202.0,15202.0,2.0,0
Dracobra,buyers,100,30401,3040100,60802.0,60802.0,2.0,2
Dracobra,buyers,100,30392,3039200,60784.0,60784.0,2.0,2
Dracobra,buyers,100,30389,3038900,60778.0,60778.0,2.0,2
Dracobra,buyers,100,30376,3037600,60752.0,60752.0,2.0,2
Dracobra,buyers,100,30365,3036500,60730.0,60730.0,2.0,2
Dracobra,buyers,100,30351,3035100,60702.0,60702.0,2.0,2
Dracobra,buyers,100,30334,3033400,60668.0,60668.0,2.0,2
