regime,n,coef,se,t,half_life_days
all observations,30053,-0.11235990994858962,0.00936491604879362,-11.997962326962208,5.815533592312884
launch phase,4347,-0.10990816770476605,0.02011053785964669,-5.46520279426763,5.953305634802043
mature worlds,25706,-0.11694679051553776,0.011073153159581992,-10.561290793159449,5.573274761330493
top-decile volatility,2884,-0.2929047359540951,0.03455227284755321,-8.477148153072568,1.9999060109358568
calm volatility,25949,-0.0864696675885894,0.005521903143166054,-15.659395926856279,7.664276326598751
index in drawdown,22206,-0.11757659440454775,0.01124892676971727,-10.452249962287105,5.541485198652214
index at or near a high,7847,-0.14089973342492138,0.018205099613461062,-7.739574977153021,4.564093158648488
