world,episode,start,end,days,mean_dev,gross
Peloria,5,2025-06-19,2025-07-17,14,0.09874083231264853,0.050408848533792315
Peloria,6,2025-09-01,2025-09-01,1,0.09437066459174837,-0.006325167539651844
Quidera,1,2025-04-05,2025-04-06,2,0.10433829515084181,-0.0014294291427772166
Quidera,2,2025-05-29,2025-06-15,14,0.10216532826337359,0.04585908579229806
Quidera,3,2025-06-23,2025-06-27,5,0.10508890174964769,0.03659328388027596
Quidera,4,2025-07-05,2025-07-17,12,0.10593262610808891,0.05944080840974486
Quidera,5,2025-07-28,2025-07-31,4,0.10014208519388612,0.05423792867815713
Rasteibra,1,2025-07-08,2025-07-15,3,0.09667765084021991,0.05663915537612022
Rasteibra,2,2025-08-18,2025-08-18,1,0.17819838125386944,0.04074004015528132
Rasteibra,3,2025-09-13,2025-09-13,1,0.10796168137465578,0.00810852398077877
Refugia,1,2025-06-01,2025-06-10,4,0.09717232896753414,0.02649043810325402
Refugia,2,2025-06-22,2025-07-05,8,0.09704332474970356,0.04653173007243483
Retalia,1,2025-10-03,2025-11-16,37,0.10515220754085798,0.06274179952410536
Retalia,2,2025-12-12,2025-12-20,9,0.11167106317735095,-0.002331726001511806
Retalia,3,2026-01-08,2026-01-08,1,0.1091683220163766,-0.02165530678137273
Retalia,4,2026-02-23,2026-02-23,1,0.09766974027316522,-0.02350522871893901
Retalia,5,2026-03-08,2026-04-06,23,0.11745524972964252,0.04878610900355231
Retalia,6,2026-04-15,2026-04-15,1,0.09704112294805256,-0.009227708079755814
Secura,1,2024-04-07,2024-06-18,64,0.1103300135780903,0.027136416907362987
Secura,2,2024-06-28,2024-07-22,18,0.10273307615026638,0.06843426620498476
Secura,3,2024-07-30,2024-08-01,3,0.10072754733836338,0.07117237774244363
Secura,4,2024-08-18,2024-08-19,2,0.09643858197962185,0.01921777078181286
Secura,5,2025-06-03,2025-08-05,45,0.09819949113865063,0.03691605250954867
Serdebra,1,2025-08-07,2025-08-07,1,0.09523800453693276,0.050039419895023585
Solidera,1,2025-04-04,2025-04-07,4,0.10298517408885255,0.021677142447515507
Solidera,2,2025-05-03,2025-05-11,7,0.11346015387862199,0.029425065108849173
Solidera,3,2025-05-23,2025-06-02,6,0.10144741543445039,0.04828037536426836
Solidera,4,2025-06-11,2025-06-12,2,0.09872371997069695,0.049667129073977634
Solidera,5,2025-06-26,2025-07-03,8,0.09690055990671231,0.05390117931507321
