scope,scope_value,n_test,n_dates,n_worlds,general_rmse_pct,specific_rmse_pct,specific_improvement_pct,general_mae_pct,specific_mae_pct,general_r2_oos,specific_r2_oos,general_direction_accuracy,specific_direction_accuracy,dm_t_specific_vs_general,dm_p_specific_vs_general,better_model,min_group_worlds,n_models,n_exact_worlds,n_region_pooled_worlds,n_pvp_pooled_worlds
validation_threshold,4,7274,120,61,2.054362960002302,2.4891710321364724,-21.16510473561514,1.4428044324414748,1.6801565707184223,0.021459075012802975,-0.43659422985975205,0.5676381633214187,0.5765740995325818,-7.709531026301548,1.2656542480726785e-14,general,4,13,42,13,6
validation_threshold,5,7274,120,61,2.054362960002302,2.3317949004914005,-13.504524073427987,1.4428044324414748,1.6060788546532878,0.021459075012802975,-0.26068137779006517,0.5676381633214187,0.5747869122903492,-7.502621513611154,6.261657858885883e-14,general,5,11,34,17,10
validation_threshold,6,7274,120,61,2.054362960002302,2.3306074560932895,-13.446722972978348,1.4428044324414748,1.6091800536075391,0.021459075012802975,-0.2593977246901964,0.5676381633214187,0.573962056640088,-7.6276918462111265,2.398081733190338e-14,general,6,9,19,32,10
