feature,perm_importance,perm_sd,gain
log_day_bought,-1.1287724715300807e-07,3.074191103039986e-08,0.05788644030690193
ret_ew14,-1.1312820124433185e-07,4.1677183699453965e-08,0.15516328561352566
mom30,-1.1351126658715681e-07,1.8757297824233298e-08,0.050535646034404635
mom7,-1.516098554132537e-07,2.2690718361442823e-08,0.055269335105549544
doy_cos,-1.5402660506492733e-07,1.193026490574274e-07,0.18021823919843882
death_ratio,-1.6008153224672126e-07,7.901782505515058e-08,0.07594601798336953
idx_premium_demand_7,-1.804615261159293e-07,3.6737870374449357e-08,0.06911724823294207
days_to_event,-2.0790001597543084e-07,2.0079675784822163e-08,0.05706662911688909
mom14,-2.16151700465142e-07,4.477161400787277e-08,0.051269286166643724
ret_mean14,-2.3144409637643692e-07,4.430539335049593e-08,0.11335654387949035
log_races_hunted,-3.051814326269646e-07,1.1680210310354981e-07,0.15515815143589862
ev_any,-3.427266962755687e-07,3.0005436053670916e-08,0.025633590994402766
days_since_merge,-3.68894646117336e-07,6.904390901253961e-08,0.030146772740408778
post_update_14,-3.886430988277927e-07,3.2754887598836556e-08,0.030796758830547333
ret_mean7,-4.264335871556016e-07,4.6141910866443046e-08,0.04629415366798639
