target,fold,rmse,rmse_base,r2_vs_mean,corr,auc,brier,brier_base,base_rate
y_vol7,0,0.1602463261757186,0.17317058837598476,0.14369614699128552,0.26333040898617033,,,,
y_vol7,1,0.4009773878595932,0.15631513314406426,-5.580179107282277,0.0077659458722371755,,,,
y_vol7,2,0.12267354142139822,0.11557549571670975,-0.12660137307352537,0.030806213119048086,,,,
y_vol7,3,0.13381801457787523,0.1335473537537431,-0.004057513549620806,0.16380923972045044,,,,
y_vol7,4,0.14240539631623014,0.15078987479012387,0.10811567255044263,0.3600448545662969,,,,
y_vol7,5,0.14940160445378695,0.1571655606288912,0.09635936758054209,0.34147457456489105,,,,
y_hivol7,0,,,,,0.6795221313473856,0.1447144054086675,0.16342180315401625,0.17907148120854827
y_hivol7,1,,,,,0.5600092516447368,0.1472160846471462,0.10912958160468962,0.0867579908675799
y_hivol7,2,,,,,0.5196612855289505,0.11446037728450283,0.10728326806152842,0.11642355483522421
y_hivol7,3,,,,,0.6068218337309342,0.10966469912116653,0.11024005147110895,0.12447716245608165
y_hivol7,4,,,,,0.7685814130866366,0.11284392220457592,0.1293131470164131,0.15256140350877193
y_hivol7,5,,,,,0.7377076346889494,0.1014727076677848,0.11471431939170415,0.1317907444668008
