world,beta,r2_systematic,idio_sd_pct,total_sd_pct,n
Antica,0.5372935425629304,0.04904158670486099,0.994632191064799,1.0199567312318003,830
Astera,0.7632373377826172,0.03558884656575136,1.4696998999668163,1.4965717824669278,771
Belobra,0.35060808072360977,0.00949054655526675,1.4593180046272933,1.466292551000984,804
Blumera,1.0230110985141443,0.06019029900117663,1.205837950539457,1.2438527944579045,265
Bona,0.6029762447388988,0.03527576486054258,0.8952000100088395,0.9114198522736314,566
Calmera,0.3679105549760457,0.01968638067059326,1.10017340179542,1.111165178107953,827
Celebra,1.2134913302009096,0.05422598104481296,1.4673373047349882,1.5088159595838286,326
Celesta,0.7135013517672418,0.04972389199348047,0.8831038832455217,0.9059138290156101,575
Citra,1.336273596338588,0.08332132528864446,1.2908517931883543,1.3482418953234037,258
Collabra,0.7323185793794534,0.051360681996062835,0.9132092818117362,0.9376046587623887,332
Descubra,0.49638406596564755,0.013493733937534053,1.2189175375824999,1.2272255872021665,572
Eclipta,0.32821220606104023,0.007869301429275312,1.0921847129302629,1.0965076087163605,258
Epoca,0.7738690288607067,0.014204129891297655,1.8763934622423466,1.8898633980842783,321
Ferobra,0.7062960015813161,0.016684064215490197,1.5716209976433984,1.584897877635782,331
Firmera,1.7534352008485932,0.11391856609948707,1.402513566157911,1.4899450522344162,323
Gentebra,0.6200984736653535,0.026841351266633052,1.063195537067863,1.0777581646433256,572
Gladera,0.4569317200563099,0.013462833822965115,1.6439401010760695,1.655119151038763,799
Gladibra,0.7621530319625556,0.028465024512890607,1.2985176398795295,1.3174029565885366,324
Harmonia,0.3469968706499627,0.015177388435496285,1.0963400169070272,1.1047557244910415,775
Havera,0.6539704808658829,0.03587203830849359,0.9924301152765473,1.0107240393816002,320
Honbra,0.8877749265278475,0.056758768496295145,1.019864860182541,1.0501014059647285,574
Inabra,0.597039799189857,0.025697304731109826,1.490002289012124,1.5095238655893801,821
Issobra,0.7085344783434859,0.02338004404653634,1.3261428080207882,1.3419226929584238,329
Jadebra,0.733035981880517,0.04071267474026778,1.0396088114453754,1.061440363695387,327
Kalanta,0.7943630289872706,0.03022156740669315,1.3217552690330077,1.3421924442162325,263
Kalibra,0.5193609566219249,0.009649048191729527,1.540377678237665,1.547863484412858,328
Karmeya,0.2924716251733801,0.009717815996635916,0.8445637278666417,0.8486975385457677,570
Lobera,0.5887140762576247,0.05085215083163235,1.058993963160897,1.0869925071819602,828
Luminera,1.0010721176987765,0.03546380547756776,1.536212704634717,1.56419930212029,328
Lutabra,0.08334825696431745,0.0001402682064891354,2.0582871135715872,2.0584314848807233,306
Menera,0.4314032818986486,0.00578471188127181,1.6559557925914161,1.6607662867475934,327
Monstera,0.4392088495619542,0.01580879777158786,1.0240508705579643,1.0322426325252998,257
Monza,0.5061863395952699,0.028606956239067338,0.8403530574268103,0.8526372259538302,571
Nefera,0.3747913442449311,0.030800260629793637,0.8982158575644285,0.9123764643883475,830
Nevia,0.460077580348377,0.019077317909611573,0.9395467345621596,0.9486390520233497,573
Ombra,0.8178486630175914,0.0752660762206576,0.8380538080699544,0.8714922088043987,326
Ourobra,0.4399049812804993,0.021485982050886688,0.8544343861989354,0.863764184169181,557
Pacera,0.6293665532103812,0.01987849433259461,1.2507132431258308,1.263332850077586,567
Peloria,0.6551268364684198,0.04766688604993105,1.202026001068585,1.23174106101759,823
Quelibra,0.5790318107092983,0.03618685571612607,0.8761876437428432,0.8924845402265273,328
Quidera,0.98735391075908,0.04889608660620272,1.2222790856916073,1.2533039151319119,573
Quintera,0.5940785762660493,0.04610273439755217,0.804426954923931,0.8236369328863041,329
Rasteibra,0.5346534161877728,0.012456845721110988,1.3486887197026205,1.3571682270454037,574
Refugia,0.4795917276742475,0.023195630554783624,0.8880464470742783,0.8985285567158637,575
Retalia,0.2600259914296842,0.0013118985185581584,2.1154723189866864,2.1168613283163227,315
Secura,0.36746857971994723,0.03800891598396456,0.7873561951355178,0.8027600023034832,829
Serdebra,0.6413113334584779,0.03635176754653538,0.9365170157558377,0.9540176466072298,575
Solidera,0.3986761784222871,0.013031714410337385,0.9941441217858304,1.00068583007082,575
Sombra,1.3129740919995474,0.03434367931793893,2.0208397898587847,2.056461535102178,258
Talera,0.6728784242929556,0.029518851172185435,1.09140522481278,1.1078793731383012,573
Tempestera,1.1168087022621576,0.017776994785810275,2.4075727393003388,2.429262053682119,259
Terribra,-0.17617123113771355,0.0005145531081350138,2.314177559774107,2.314773173268126,260
Thyria,0.4714799713183782,0.014074688995719968,1.1241054839885976,1.1321006988452804,572
Ustebra,0.9160636599636609,0.06475245916347169,0.9856885362708826,1.0192399038217885,553
Venebra,0.8406995904687427,0.049507276444198764,1.0692054244114202,1.09669725173536,332
Vunira,0.5341797959474892,0.04564881122200945,1.0254586945729642,1.0496972568882874,827
Wintera,0.5581146173728071,0.014448340895193947,1.3223150762841005,1.3319724828273158,559
Xyla,0.7617083459940537,0.03299655345633634,1.1626753266338206,1.182345615807871,574
Xymera,0.6860608919807389,0.028771127949716344,1.1744608103753666,1.191729630585716,264
Yonabra,0.7891765710073827,0.032749873414087895,1.2512236711823914,1.272229771629837,328
Yovera,0.5784588272083669,0.034845223188451055,0.8869855723518194,0.9028551371044204,333
