date,n_worlds,basket_log,basket_price,chain_ret,n_pairs,ew_log,ew_price,index_valid,vw_log,vw_price,disp_pct,breadth_up
2023-01-11,1,10.257168017494532,28486.00000000002,,0,,,False,,,,0.0
2023-01-12,1,10.253862694326331,28391.99999999997,-0.0033053231682007578,1,,,False,,,,0.0
2023-01-13,1,10.259429728065657,28550.500000000065,0.005567033739325211,1,,,False,,,,1.0
2023-01-14,1,10.265227149440596,28716.50000000002,0.00579742137493966,1,,,False,,,,1.0
2023-01-15,1,10.265818968430889,28733.499999999985,0.0005918189902924809,1,,,False,,,,1.0
2023-01-16,1,10.267783383606222,28790.000000000015,0.0019644151753333006,1,,,False,,,,1.0
2023-01-17,1,10.278287246333408,29094.00000000001,0.01050386272718562,1,,,False,,,,1.0
2023-01-18,1,10.275464816483304,29012.000000000015,-0.002822429850104058,1,,,False,,,,0.0
2023-01-19,1,10.28414754172532,29264.999999999953,0.008682725242016076,1,,,False,,,,1.0
2023-01-20,1,10.280175885872874,29149.000000000004,-0.0039716558524460766,1,,,False,,,,0.0
2023-01-21,1,10.285308664729897,29299.000000000055,0.005132778857023013,1,,,False,,,,1.0
2023-01-22,1,10.28484779196529,29285.499999999985,-0.00046087276460582416,1,,,False,,,,0.0
2023-01-23,1,10.30253209284137,29807.999999999993,0.01768430087607875,1,,,False,,,,1.0
2023-01-24,1,10.31505069643936,30183.500000000062,0.012518603597991174,1,,,False,,,,1.0
2023-01-25,1,10.339239353249164,30922.49999999998,0.024188656809803533,1,,,False,,,,1.0
2023-01-26,1,10.347900900782736,31191.499999999978,0.008661547533572289,1,,,False,,,,1.0
2023-01-27,1,10.336892029333534,30849.99999999999,-0.011008871449202928,1,,,False,,,,0.0
2023-01-28,1,10.332701738815134,30720.99999999998,-0.0041902905183999195,1,,,False,,,,0.0
2023-01-29,1,10.367787446365185,31817.99999999999,0.035085707550051026,1,,,False,,,,1.0
2023-01-30,1,10.335253735063665,30799.500000000055,-0.03253371130151983,1,,,False,,,,0.0
2023-01-31,1,10.33182247473504,30693.999999999978,-0.003431260328625285,1,,,False,,,,0.0
2023-02-01,1,10.36910658346404,31860.00000000002,0.037284108729000565,1,,,False,,,,1.0
2023-02-02,1,10.359360563188138,31551.00000000001,-0.009746020275901657,1,,,False,,,,0.0
2023-02-03,1,10.343257464336284,31047.000000000055,-0.016103098851854014,1,,,False,,,,0.0
2023-02-04,1,10.358345817580211,31518.999999999924,0.015088353243926989,1,,,False,,,,1.0
2023-02-05,1,10.358821607797427,31534.000000000007,0.0004757902172158879,1,,,False,,,,1.0
2023-02-06,1,10.366435096057655,31775.000000000015,0.007613488260227896,1,,,False,,,,1.0
2023-02-07,1,10.355454494295712,31427.99999999999,-0.010980601761943376,1,,,False,,,,0.0
2023-02-08,1,10.36916935613284,31861.999999999993,0.013714861837128112,1,,,False,,,,1.0
2023-02-09,1,10.355327211154192,31423.99999999998,-0.013842144978648108,1,,,False,,,,0.0
2023-02-10,1,10.371426551899647,31934.000000000022,0.016099340745455493,1,,,False,,,,1.0
2023-02-11,1,10.363140927219868,31670.499999999996,-0.008285624679778891,1,,,False,,,,0.0
2023-02-12,1,10.353894158347762,31379.000000000025,-0.009246768872106514,1,,,False,,,,0.0
2023-02-13,1,10.36879266100031,31850.000000000007,0.014898502652547663,1,,,False,,,,1.0
2023-02-14,1,10.376564579054312,32098.5,0.007771918054002569,1,,,False,,,,1.0
2023-02-15,1,10.34573450473682,31123.999999999967,-0.030830074317492517,1,,,False,,,,0.0
2023-02-16,1,10.35371886652627,31373.500000000022,0.00798436178945039,1,,,False,,,,1.0
2023-02-17,1,10.346087867306553,31135.000000000007,-0.007630999219717438,1,,,False,,,,0.0
2023-02-18,1,10.355343122432902,31424.499999999993,0.009255255126349837,1,,,False,,,,1.0
2023-02-19,1,10.36110225496905,31606.000000000007,0.005759132536146794,1,,,False,,,,1.0
