block,k,r2_within,n
supply only,3,0.008304846154093881,30052
demand only,6,0.002664565511739103,29439
behaviour only,5,0.048035935866122204,28889
supply + demand,9,0.013394718599006872,29439
all three,14,0.06681237707440535,28135
