horizon,nominal,coverage,median_width_pct,n_origins,error,verdict
30,0.5,0.5433070866141733,4.531905703004324,127,0.04330708661417326,well calibrated
30,0.8,0.8582677165354331,9.031632310016423,127,0.058267716535433056,well calibrated
30,0.9,0.9133858267716536,12.35297971713678,127,0.013385826771653564,well calibrated
91,0.5,0.4260869565217391,8.489277948469741,115,-0.07391304347826089,well calibrated
91,0.8,0.7739130434782608,16.923270071132123,115,-0.026086956521739202,well calibrated
91,0.9,0.8782608695652174,22.822077182117575,115,-0.021739130434782594,well calibrated
182,0.5,0.32989690721649484,12.93410885582238,97,-0.17010309278350516,too narrow - understates risk
182,0.8,0.7422680412371134,26.0908365350053,97,-0.057731958762886615,well calibrated
182,0.9,0.9587628865979382,35.17207592933378,97,0.05876288659793816,well calibrated
