world,n_obs,first,last,px_first,px_last,px_med,px_min,px_max,vol,sold,bought,lots_sold,region,pvp_type,battleye_protected,battleye_date,transfer_type,created,is_merge_destination,launch_in_window,premium_only,record_online,guilds,people_in_guilds,ach_points,converged,activity_year,active_chars,premium_accounts,free_accounts,premium_share,mean_level,median_level,chars_level_100plus,pct_level_100plus,vip_total,vip_guilds,population,active_share,guilded_share,total_ret_pct
Quintera,330,2025-09-04,2026-07-30,36128.5,39699.0,38156.25,35830.0,41406.5,0.8236369328863041,4900.0,3000.0,196.0,North America,Open PvP,True,2017-10-19,regular,2005-07-06,True,False,False,729.0,35,5121,744146,True,160.70798898071627,7595,4258,3337,0.5606319947333772,236.04384463462804,131.0,4605,0.6063199473337723,88055,35,88055,0.08625291011299756,0.05815683379705865,9.882779523091179
Rasteibra,575,2025-01-01,2026-07-29,39587.5,40048.0,37651.5,31708.5,41685.0,1.3571682270454037,4775.0,3875.0,191.0,South America,Open PvP,True,release,regular,2023-08-28,True,False,False,609.0,28,2201,338986,True,245.20661157024793,5248,2922,2326,0.5567835365853658,262.407012195122,149.0,3149,0.6000381097560976,88533,28,88533,0.0592773316164594,0.024860786373442672,1.163245974107996
Refugia,576,2024-12-31,2026-07-29,41711.0,43080.0,40787.75,37741.5,44941.5,0.8985285567158637,2225.0,2475.0,89.0,Europe,Optional PvP,True,2017-09-12,regular,2005-07-20,False,False,False,1050.0,51,2282,601216,True,209.45179063360882,5250,3213,2037,0.612,347.5045714285714,245.0,3867,0.7365714285714285,72450,51,72450,0.07246376811594203,0.0314975845410628,3.28210783726115
Retalia,319,2025-09-04,2026-07-22,35456.0,36875.0,36747.0,31877.0,40173.0,2.1168613283163227,350.0,625.0,14.0,Europe,Retro Hardcore PvP,True,release,regular,2023-08-28,True,False,False,380.0,7,876,139024,True,23.96969696969697,4471,2044,2427,0.4571684186982778,163.703198389622,85.0,2096,0.4687989264146723,45023,7,45023,0.09930479976900695,0.019456722119805432,4.0021435018050555
Secura,910,2024-01-29,2026-07-29,40267.5,43343.0,41142.5,35015.0,45236.5,0.8146386564755722,5687.5,6850.0,227.5,Europe,Optional PvP,True,2017-09-05,regular,2002-11-04,False,False,False,1053.0,98,4204,820374,True,492.2416666666667,7554,4479,3075,0.5929308975377283,367.8418056658723,246.0,5491,0.7268996558114906,176645,97,176645,0.04276373517506864,0.02379914517818223,7.637673061401884
Serdebra,576,2024-12-31,2026-07-29,38338.5,39380.0,37713.5,32623.0,41448.5,0.9540176466072298,4450.0,2950.0,178.0,South America,Open PvP,True,2017-05-17,regular,2016-11-22,False,False,False,1052.0,45,2877,581105,True,214.31404958677686,5542,3702,1840,0.6679898953446409,331.2549621075424,238.0,3949,0.7125586430891375,79856,45,79856,0.06939991985574033,0.0360273492286115,2.716590372601946
Solidera,576,2025-01-01,2026-07-30,38142.5,40784.0,37301.0,31904.0,41473.0,1.00068583007082,3925.0,5350.0,157.0,North America,Open PvP,True,2018-04-19,regular,2002-10-07,True,False,False,893.0,85,8494,1093696,True,222.6473829201102,11350,6254,5096,0.5510132158590308,228.73444933920703,141.0,7172,0.6318942731277533,144288,85,144288,0.07866212020403637,0.05886837436238634,6.925345742937661
Sombra,259,2025-11-07,2026-07-23,41304.0,41976.5,38812.0,33025.0,44708.5,2.056461535102178,325.0,450.0,13.0,South America,Retro Open PvP,True,release,regular,2025-11-06,True,False,False,99.0,1,724,49798,True,19.21969696969697,4107,1803,2304,0.4390065741417093,97.45945945945944,55.0,1292,0.3145848551253957,19105,1,19105,0.21496990316671027,0.037895838785658206,1.6281716056556261
Sonira,334,2025-08-29,2026-07-28,14847.5,39697.0,24428.5,14011.0,39697.0,3.4283317818390704,787.5,1175.0,31.5,Europe,Optional PvP,True,release,regular,2025-05-21,False,True,False,748.0,9,176,25454,False,54.20661157024794,3189,1840,1349,0.576983380370022,107.56036375039196,47.0,954,0.2991533396048918,8243,9,8243,0.38687371102753854,0.02135144971490962,167.36487624179153
Stralis,329,2025-08-29,2026-07-28,14022.0,39881.5,18095.0,12883.5,41771.0,5.009696296560504,125.0,200.0,5.0,Oceania,Optional PvP,True,release,regular,2024-04-10,False,True,False,127.0,3,417,33825,False,17.198347107438018,2492,932,1560,0.3739967897271268,69.24317817014446,28.0,397,0.1593097913322632,5024,3,5024,0.49601910828025475,0.0830015923566879,184.42090999857368
Talera,574,2025-01-01,2026-07-28,38476.5,38791.5,37316.0,31326.0,41138.5,1.1078793731383012,4887.5,6100.0,195.5,North America,Open PvP,True,2018-04-19,regular,2004-03-30,True,False,False,1056.0,76,8550,1181511,True,262.1570247933884,11297,6448,4849,0.570771001150748,238.0678056121094,144.0,7085,0.6271576524741082,175960,76,175960,0.06420209138440555,0.04859058877017504,0.8186815328837138
Tempestera,260,2025-11-07,2026-07-24,35074.0,36871.5,35589.25,27563.0,40759.5,2.429262053682119,350.0,550.0,14.0,North America,Retro Open PvP,True,release,regular,2025-11-06,True,False,False,154.0,12,1120,105041,True,23.984848484848484,4464,1943,2521,0.4352598566308244,144.4811827956989,82.0,2010,0.450268817204301,36867,12,36867,0.1210838961673041,0.030379472156671278,5.124878827621604
Terribra,262,2025-11-07,2026-07-27,40064.5,37459.0,37823.5,33955.0,40887.5,2.314773173268126,1925.0,1350.0,77.0,South America,Retro Hardcore PvP,True,release,regular,2025-11-06,True,False,False,211.0,13,3073,266237,True,80.03030303030303,6194,2983,3211,0.4815950920245399,176.85372941556344,66.0,2756,0.4449467226348079,99103,13,99103,0.06250063065699323,0.031008143043096577,-6.5032634876261985
Thyria,573,2025-01-01,2026-07-27,37130.0,39195.5,37062.0,31926.0,40893.0,1.1321006988452804,2900.0,3175.0,116.0,Europe,Open PvP,True,2021-12-06,regular,2005-02-16,True,False,False,770.0,64,4410,661023,True,217.38567493112947,7480,4197,3283,0.561096256684492,259.85120320855617,158.0,4794,0.6409090909090909,167626,64,167626,0.04462314915347261,0.026308567883263932,5.562887153245355
Tornabra,329,2025-09-04,2026-07-29,36964.5,40357.0,38169.0,35528.0,41611.5,0.9701553837367834,2425.0,2575.0,97.0,South America,Open PvP,True,release,regular,2023-08-23,False,True,False,1331.0,13,1012,217245,False,116.04132231404958,3768,2343,1425,0.6218152866242038,232.41507430997876,104.0,1929,0.5119426751592356,24294,13,24294,0.15510002469745615,0.04165637605993249,9.17772457357735
Unebra,331,2025-09-03,2026-07-30,31665.0,40526.5,38578.5,31250.5,45447.0,1.602851989594292,1800.0,2475.0,72.0,South America,Open PvP,True,release,regular,2024-05-15,False,True,False,947.0,9,939,231332,False,86.37741046831955,3446,2226,1220,0.6459663377829368,232.35374347069063,83.0,1616,0.4689495066744051,14501,9,14501,0.2376387835321702,0.06475415488586994,27.98515711353229
Ustebra,555,2024-12-31,2026-07-24,40871.5,38822.0,39018.0,35577.0,44483.5,1.0192399038217885,3775.0,3925.0,151.0,South America,Optional PvP,True,release,regular,2023-08-28,True,False,False,852.0,48,2843,479821,True,344.7906336088154,5668,3237,2431,0.5711009174311926,253.06298517995765,146.0,3511,0.6194424841213833,149725,49,149725,0.03785606946067791,0.018988144932376022,-5.014496654147759
Venebra,333,2025-08-29,2026-07-27,37923.5,38730.0,38999.5,36398.0,43875.0,1.09669725173536,2725.0,1900.0,109.0,South America,Optional PvP,True,release,regular,2019-02-06,False,False,False,631.0,27,1218,267267,True,150.54820936639118,4319,2426,1893,0.5617040981708729,276.4908543644362,176.0,2780,0.6436675156286177,57545,27,57545,0.0750543053262664,0.021166043965592147,2.1266497026909414
Victoris,727,2024-04-16,2026-07-29,1023.0,36682.5,14598.5,1023.0,36767.5,3.7766865485858094,575.0,1050.0,23.0,Oceania,Open PvP,True,release,regular,2024-04-10,False,True,False,432.0,20,452,68271,False,39.26721763085399,3087,1560,1527,0.5053449951409135,137.10625202461938,63.0,1225,0.3968253968253968,8860,20,8860,0.34841986455981944,0.051015801354401806,3485.777126099707
Vunira,989,2023-11-01,2026-07-27,40149.5,38889.0,36804.0,27317.5,41021.0,1.107865959583624,2975.0,3450.0,119.0,Europe,Open PvP,True,2017-10-19,regular,2003-07-15,True,False,False,1050.0,65,5435,886549,True,239.06611570247935,8362,4817,3545,0.5760583592441999,272.1113370007175,184.0,5804,0.6940923224109065,177901,64,177901,0.04700367058082866,0.030550699546376917,-3.139516058730496
Wintera,561,2024-12-31,2026-07-30,39181.0,39171.0,37305.0,32273.5,40588.5,1.3319724828273158,4800.0,5425.0,192.0,North America,Open PvP,True,2018-04-19,regular,2003-11-05,True,False,False,1023.0,81,6185,904489,True,234.9146005509642,9071,5407,3664,0.5960754051372505,254.8554734869364,161.0,6005,0.6619997795171425,141201,80,141201,0.06424175466179417,0.043802805929136476,-0.02552257471734043
Xybra,327,2025-09-04,2026-07-29,18592.5,39617.0,32031.5,15519.0,40694.5,2.8983948229651424,1025.0,1250.0,41.0,South America,Open PvP,True,release,regular,2025-02-19,False,True,False,690.0,3,606,79610,False,55.570247933884296,3522,1861,1661,0.5283929585462805,116.94520159000568,49.0,1129,0.3205565019875071,11423,3,11423,0.3083253085879366,0.05305086229536899,113.08054322979694
Xyla,575,2025-01-01,2026-07-29,38470.0,39092.0,37117.5,30655.5,40641.0,1.1823456158078707,1900.0,2525.0,76.0,Europe,Open PvP,True,release,regular,2024-09-09,True,False,False,524.0,35,1917,282765,True,135.82644628099175,5261,3244,2017,0.6166128112526136,240.7114616992967,154.0,3290,0.6253563961224102,100804,38,100804,0.052190389270267055,0.019017102495932702,1.6168442942552597
Xymera,265,2025-11-07,2026-07-29,39741.5,40431.0,37771.5,35467.0,41274.0,1.191729630585716,2400.0,3200.0,96.0,North America,Open PvP,True,release,regular,2025-11-06,True,False,False,258.0,20,1195,163816,True,103.89772727272727,4050,2676,1374,0.6607407407407407,202.8069135802469,107.0,2119,0.5232098765432098,19465,21,19465,0.20806575905471358,0.06139224248651426,1.7349621931733727
Yonabra,329,2025-09-04,2026-07-29,42131.0,43225.5,41938.0,39269.5,45728.5,1.272229771629837,4075.0,1725.0,163.0,South America,Optional PvP,True,2020-05-27,regular,2020-05-27,False,False,False,604.0,40,1681,611934,True,158.19559228650138,3921,2398,1523,0.6115786789084418,412.49298648304006,309.0,2854,0.7278755419535833,33361,38,33361,0.11753244806810348,0.050388177812415696,2.5978495644537247
Yovera,334,2025-08-29,2026-07-28,37795.0,39311.5,38212.5,35431.0,43134.0,0.9028551371044204,3025.0,2800.0,121.0,North America,Optional PvP,True,release,regular,2023-08-28,True,False,False,518.0,57,2993,364486,True,199.24242424242425,6009,3422,2587,0.5694791146613413,247.78648693626224,158.0,3926,0.6533533033782659,74141,58,74141,0.081048272885448,0.040369026584480924,4.012435507342249
Yubra,334,2025-08-28,2026-07-27,38236.5,38455.0,38766.75,34610.0,44389.5,1.3409934952330966,1375.0,1325.0,55.0,South America,Optional PvP,True,release,regular,2024-02-14,False,True,False,1347.0,9,499,127769,False,82.61707988980716,3709,2088,1621,0.5629549743866271,163.81423564303046,77.0,1644,0.4432461579940684,25600,8,25600,0.1448828125,0.0194921875,0.5714435160121933
Zuna,79,2026-05-08,2026-07-25,53004.5,49873.0,49003.5,44202.0,56843.5,4.728013074650945,100.0,75.0,4.0,Europe,Hardcore PvP,True,2025-02-18,locked,2004-06-29,True,False,False,293.0,1,182,60357,False,8.024793388429751,4248,1423,2825,0.3349811676082863,155.5677966101695,87.0,2008,0.4726930320150659,54812,1,54812,0.07750127709260746,0.003320440779391374,-5.907988944334919
Zunera,80,2026-05-07,2026-07-25,47058.0,54001.0,51647.75,46656.0,56076.0,3.823379868586705,125.0,100.0,5.0,North America,Hardcore PvP,True,2025-02-18,locked,2004-06-29,True,False,False,176.0,2,247,68068,False,10.787878787878787,4175,1342,2833,0.3214371257485029,164.29221556886228,89.0,1992,0.477125748502994,61528,2,61528,0.06785528539851775,0.004014432453517098,14.754133197330944
