horizon,n,model_mape,model_rmsle,rw_mape,rw_rmsle,snaive_mape,snaive_rmsle,cover80,cover90
2w,59,2.312934538013001,2.908999787088317,2.2785097574026563,2.8702799026391213,2.420919223569558,3.031900077869489,81.35593220338984,93.22033898305084
1m,60,3.7275104790946654,4.671772950775491,3.652252468402723,4.566004594478971,3.8175803273966786,4.986201673012549,65.0,78.33333333333333
3m,59,7.794274690636464,9.37069184012059,7.4635026799500235,8.89620703727638,7.322979851338072,8.94258399408831,67.79661016949152,77.96610169491525
6m,61,7.410999195105114,8.997852474462793,6.941614016044818,8.37918022214329,6.945789480097492,8.058443739045586,85.24590163934425,98.36065573770492
